Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1302.23,0.00,9999.31,,,,,,1702.57,,2657.64,2818.58,3418.78,1193.98
Active Decode Throughput Per User (tokens/sec/user),6.15,0.00,78.12,,,,,,8.34,,13.36,14.36,16.69,5.63
Active Prefill Throughput (tokens/sec),5994.79,89.34,43690.58,,,,,,1871.03,,16398.26,18442.86,36154.13,7144.48
Active Prefill Throughput Per User (tokens/sec/user),40.00,19.40,1364.16,,,,,,24.90,,81.46,95.45,113.69,27.78
Active Total Throughput (tokens/sec),6409.78,13.89,43690.58,,,,,,3105.82,,16462.40,17342.01,36164.53,6433.13
Credit-to-Start Latency (ms),5.72,0.54,26.34,3663.34,0.70,1.02,1.37,2.92,4.52,6.07,14.46,16.88,21.02,4.75
Decode Duration (ms),17045.81,9134.15,24450.24,10909319.29,9138.41,10500.96,11876.74,13995.99,17179.77,20697.42,22822.84,23523.82,23651.03,4027.24
E2E Output Token Throughput (tokens/sec/user),5.11,2.62,8.61,3268.53,2.62,2.62,3.22,5.16,5.21,5.27,5.62,8.61,8.61,1.48
Effective Concurrency,275.12,0.00,320.00,,,,,,320.00,,320.00,320.00,320.00,81.29
Effective Decode Concurrency,170.98,0.00,256.00,,,,,,178.00,,256.00,256.00,256.00,85.96
Effective Decode Throughput (tokens/sec),1273.88,0.00,9999.31,,,,,,1689.49,,2655.62,2810.39,3418.78,1196.10
Effective Decode Throughput Per User (tokens/sec/user),6.02,0.00,78.12,,,,,,8.17,,13.34,14.28,16.51,5.64
Effective Latency (CO-aware) (ms),27434.00,14869.23,48900.29,17557760.15,14876.82,14885.71,23259.72,24289.12,24595.34,24791.91,39974.68,48889.28,48895.70,9004.48
Effective Prefill Concurrency,104.14,0.00,320.00,,,,,,64.00,,256.00,288.00,319.00,87.20
Effective Prefill Throughput (tokens/sec),5135.66,0.00,43690.58,,,,,,1263.23,,16100.18,17342.01,36154.13,6938.34
Effective Prefill Throughput Per User (tokens/sec/user),34.27,0.00,1364.16,,,,,,19.74,,76.89,93.86,113.69,29.29
Effective Total Throughput (tokens/sec),6409.54,0.00,43690.58,,,,,,3105.82,,16462.40,17342.01,36164.53,6433.13
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,81920.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
