Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),114.86,10.62,238.92,,,,,,118.33,,130.36,139.97,168.76,25.33
Active Decode Throughput Per User (tokens/sec/user),57.62,10.62,119.46,,,,,,59.17,,65.18,69.99,84.38,11.89
Active Prefill Throughput (tokens/sec),5321.25,2660.62,7189.07,,,,,,7189.07,,7189.07,7189.07,7189.07,2229.26
Active Prefill Throughput Per User (tokens/sec/user),3209.33,2660.62,3594.54,,,,,,3594.54,,3594.54,3594.54,3594.54,459.74
Active Total Throughput (tokens/sec),552.23,59.58,7189.07,,,,,,117.01,,117.01,2718.05,7189.07,1577.71
Credit-to-Start Latency (ms),1.04,0.97,1.12,2.09,0.97,0.98,0.98,1.01,1.04,1.08,1.10,1.11,1.12,0.07
Decode Duration (ms),2171.47,2131.55,2211.39,4342.93,2132.35,2135.54,2139.53,2151.51,2171.47,2191.43,2203.40,2207.39,2210.59,39.92
E2E Output Token Throughput (tokens/sec/user),55.05,55.05,55.05,110.10,55.05,55.05,55.05,55.05,55.05,55.05,55.05,55.05,55.05,0.00
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.07
Effective Decode Concurrency,1.87,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.47
Effective Decode Throughput (tokens/sec),109.09,0.00,238.92,,,,,,117.72,,129.84,138.74,168.76,35.20
Effective Decode Throughput Per User (tokens/sec/user),54.73,0.00,119.46,,,,,,58.86,,64.92,69.37,84.38,17.11
Effective Latency (CO-aware) (ms),2326.15,2326.08,2326.23,4652.31,2326.08,2326.09,2326.10,2326.12,2326.15,2326.19,2326.21,2326.22,2326.23,0.07
Effective Prefill Concurrency,0.13,0.00,2.00,,,,,,0.00,,0.00,1.00,2.00,0.46
Effective Prefill Throughput (tokens/sec),442.38,0.00,7189.07,,,,,,0.00,,0.00,2660.62,7189.07,1603.58
Effective Prefill Throughput Per User (tokens/sec/user),266.81,0.00,3594.54,,,,,,0.00,,0.00,2660.62,3594.54,895.91
Effective Total Throughput (tokens/sec),551.47,0.00,7189.07,,,,,,117.01,,117.01,2718.05,7189.07,1576.76
