Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1351.66,0.00,38318.60,,,,,,1567.02,,2724.39,2990.59,4880.80,1479.87
Active Decode Throughput Per User (tokens/sec/user),5.32,0.00,149.68,,,,,,6.12,,10.64,11.68,19.07,5.75
Active Prefill Throughput (tokens/sec),6515.22,45.21,43758.85,,,,,,3684.84,,11985.04,18964.16,36155.00,6308.18
Active Prefill Throughput Per User (tokens/sec/user),32.23,18.49,1365.97,,,,,,28.17,,51.87,59.34,94.90,18.25
Active Total Throughput (tokens/sec),6675.76,9.65,43758.85,,,,,,4217.40,,11845.33,16662.68,36170.67,5718.97
Credit-to-Start Latency (ms),10.33,0.69,42.53,7931.47,1.06,1.61,2.30,4.11,8.26,13.51,19.79,30.05,39.45,8.43
Decode Duration (ms),18363.98,13044.53,24345.26,14103533.33,13048.24,13172.35,13818.70,15662.98,18488.76,21465.65,22864.27,23561.13,23736.64,3253.32
E2E Output Token Throughput (tokens/sec/user),4.35,2.61,5.23,3340.97,2.61,2.62,2.62,2.62,5.21,5.22,5.22,5.23,5.23,1.22
Effective Concurrency,341.10,0.00,384.00,,,,,,384.00,,384.00,384.00,384.00,60.80
Effective Decode Concurrency,191.85,0.00,256.00,,,,,,256.00,,256.00,256.00,256.00,84.64
Effective Decode Throughput (tokens/sec),1326.75,0.00,38318.60,,,,,,1481.96,,2721.28,2989.13,4860.65,1477.39
Effective Decode Throughput Per User (tokens/sec/user),5.23,0.00,149.68,,,,,,5.86,,10.63,11.68,18.99,5.74
Effective Latency (CO-aware) (ms),32660.94,24485.14,48997.34,25083600.78,24489.52,24504.19,24510.98,24527.55,24559.12,48874.95,48908.65,48934.81,48994.70,11473.02
Effective Prefill Concurrency,149.25,0.00,384.00,,,,,,128.00,,317.00,352.00,381.00,104.31
Effective Prefill Throughput (tokens/sec),5348.79,0.00,43758.85,,,,,,2385.09,,11670.15,16285.66,36155.00,6237.62
Effective Prefill Throughput Per User (tokens/sec/user),26.46,0.00,1365.97,,,,,,18.63,,51.37,56.95,94.90,20.64
Effective Total Throughput (tokens/sec),6675.55,0.00,43758.85,,,,,,4217.40,,11845.33,16662.68,36170.67,5719.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,98304.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,768.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),52.51,0.00,175.28,40326.76,0.00,0.00,0.00,0.00,3.06,116.10,133.52,136.14,143.27,59.08
HTTP Connection Overhead (ms),52.51,0.00,175.28,40326.76,0.00,0.00,0.00,0.00,3.06,116.10,133.52,136.14,143.27,59.08
HTTP Connection Reused (ratio),0.50,0.00,1.00,384.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),32.00,31.66,32.19,24578.39,31.84,31.92,31.94,31.97,32.00,32.04,32.07,32.09,32.12,0.06
HTTP Data Sent (KB),2.34,2.00,2.59,1794.98,2.09,2.19,2.22,2.28,2.34,2.40,2.45,2.48,2.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),32650.56,24477.63,48979.03,25075626.47,24482.19,24488.22,24500.12,24523.56,24553.32,48857.76,48897.04,48918.20,48976.84,11468.29
HTTP Receiving (ms),18363.97,13044.53,24345.26,14103532.57,13048.23,13172.35,13818.70,15662.98,18488.77,21465.65,22864.27,23561.12,23736.65,3253.32
HTTP Sending (ms),52.62,0.06,175.47,40415.45,0.06,0.07,0.08,0.10,3.60,116.21,133.59,136.23,143.36,59.07
HTTP Total Time (ms),32703.06,24477.63,49109.98,25115953.23,24482.19,24488.22,24500.12,24541.76,24661.05,48857.84,49029.43,49052.70,49105.36,11478.81
HTTP Waiting (TTFB) (ms),14233.96,169.93,30154.29,10931678.45,908.13,2329.26,3821.72,7176.68,9979.11,26080.42,28717.75,29434.55,30147.63,9802.64
Input Sequence Length (tokens),512.00,512.00,512.00,393216.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),144.60,2.51,11527.09,14103533.33,11.93,41.03,65.84,92.14,102.78,113.21,139.32,168.63,228.67,555.65
Inter Token Latency (ms),144.60,102.71,191.69,111051.44,102.74,103.72,108.81,123.33,145.58,169.02,180.03,185.52,186.90,25.62
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,98304.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,98304.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),7.15,5.22,9.74,5487.55,5.35,5.39,5.55,5.92,6.87,8.11,9.19,9.64,9.73,1.31
Prefill Throughput Per User (tokens/sec/user),79.81,16.91,3006.77,61297.19,16.91,17.31,17.75,19.59,51.31,71.34,130.51,217.49,547.65,178.29
Request Latency (ms),32650.61,24477.68,48979.06,25075669.31,24482.26,24488.27,24500.16,24523.62,24553.39,48857.80,48897.07,48918.24,48976.88,11468.29
Time to First Output Token (ms),14286.64,170.28,30282.44,10972135.98,934.90,2354.08,3923.20,7176.81,9979.27,26144.12,28848.93,29571.25,30276.05,9812.00
Time to First Token (ms),14286.64,170.28,30282.44,10972135.98,934.90,2354.08,3923.20,7176.81,9979.27,26144.12,28848.93,29571.25,30276.05,9812.00
Time to Second Token (ms),5437.91,81.07,11527.09,4176317.02,81.56,119.81,809.66,2814.14,5643.85,8628.71,10039.51,10741.93,10765.56,3290.51
Tokens In Flight (tokens),183622.01,0.00,229121.00,,,,,,196736.00,,220323.00,224768.00,228352.00,32868.19
Usage Completion Tokens (tokens),128.00,128.00,128.00,98304.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),512.00,512.00,512.00,393216.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Usage Total Tokens (tokens),640.00,640.00,640.00,491520.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.00

Metric,Value
Benchmark Duration (sec),73.51
Input Token Throughput (tokens/sec),5348.79
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1337.20
Request Count,768.00
Request Throughput (requests/sec),10.45
Total Input Sequence Length (tokens),393216.00
Total Output Sequence Length (tokens),98304.00
Total Output Tokens (tokens),98304.00
Total Token Throughput (tokens/sec),6685.99
Total Usage Completion Tokens (tokens),98304.00
Total Usage Prompt Tokens (tokens),393216.00
Total Usage Total Tokens (tokens),491520.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
