Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),261.95,2.56,598.93,,,,,,285.01,,311.86,327.15,513.87,89.40
Active Decode Throughput Per User (tokens/sec/user),32.94,2.56,74.87,,,,,,35.63,,38.98,40.89,64.23,10.63
Active Prefill Throughput (tokens/sec),8568.23,1072.15,13987.30,,,,,,9508.24,,13987.30,13987.30,13987.30,4073.97
Active Prefill Throughput Per User (tokens/sec/user),1361.65,1072.15,2298.13,,,,,,1358.32,,1748.41,1748.41,1748.41,249.33
Active Total Throughput (tokens/sec),1286.00,34.64,13987.30,,,,,,279.75,,3395.01,9540.98,13987.30,3054.31
Credit-to-Start Latency (ms),1.26,1.09,1.49,10.11,1.09,1.11,1.13,1.20,1.25,1.31,1.43,1.46,1.48,0.12
Decode Duration (ms),3635.42,3512.87,3878.47,29083.40,3512.98,3513.44,3514.01,3514.50,3665.62,3665.88,3729.71,3804.09,3863.60,115.66
E2E Output Token Throughput (tokens/sec/user),32.05,32.05,32.05,256.42,32.05,32.05,32.05,32.05,32.05,32.05,32.05,32.05,32.05,0.00
Effective Concurrency,7.99,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.24
Effective Decode Concurrency,7.28,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,2.08
Effective Decode Throughput (tokens/sec),254.18,0.00,598.93,,,,,,282.17,,311.24,327.15,513.87,98.65
Effective Decode Throughput Per User (tokens/sec/user),31.96,0.00,74.87,,,,,,35.27,,38.91,40.89,64.23,11.87
Effective Latency (CO-aware) (ms),3994.68,3994.44,3994.88,31957.44,3994.45,3994.50,3994.56,3994.61,3994.69,3994.75,3994.81,3994.85,3994.88,0.12
Effective Prefill Concurrency,0.72,0.00,8.00,,,,,,0.00,,3.00,7.00,8.00,2.07
Effective Prefill Throughput (tokens/sec),1030.72,0.00,13987.30,,,,,,0.00,,3223.68,9508.24,13987.30,3125.01
Effective Prefill Throughput Per User (tokens/sec/user),163.80,0.00,2298.13,,,,,,0.00,,1074.56,1358.32,1748.41,451.32
Effective Total Throughput (tokens/sec),1284.90,0.00,13987.30,,,,,,279.75,,3395.01,9540.98,13987.30,3053.23
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,8.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),6.56,5.05,10.68,52.48,5.05,5.07,5.09,5.12,5.28,6.70,10.58,10.63,10.67,2.34
HTTP Connection Overhead (ms),6.56,5.05,10.68,52.48,5.05,5.07,5.09,5.12,5.28,6.70,10.58,10.63,10.67,2.34
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),31.98,31.92,32.03,255.81,31.92,31.93,31.93,31.96,31.98,32.00,32.01,32.02,32.03,0.03
HTTP Data Sent (KB),2.33,1.99,2.49,18.67,2.01,2.07,2.14,2.22,2.43,2.45,2.46,2.47,2.48,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3993.20,3992.96,3993.40,31945.60,3992.96,3992.96,3992.96,3993.02,3993.27,3993.34,3993.38,3993.39,3993.40,0.17
HTTP Receiving (ms),3635.44,3512.88,3878.50,29083.52,3512.99,3513.45,3514.02,3514.52,3665.64,3665.89,3729.72,3804.11,3863.62,115.66
HTTP Sending (ms),7.04,5.53,11.16,56.28,5.53,5.53,5.53,5.56,5.77,7.21,11.06,11.11,11.15,2.34
HTTP Total Time (ms),3999.76,3998.00,4003.72,31998.08,3998.03,3998.14,3998.28,3998.42,3998.61,3999.99,4003.57,4003.64,4003.71,2.24
HTTP Waiting (TTFB) (ms),350.72,109.21,472.91,2805.80,124.08,183.58,257.94,321.79,321.86,467.79,470.22,471.57,472.64,114.14
Input Sequence Length (tokens),515.00,515.00,515.00,4120.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,0.00
Inter Chunk Latency (ms),28.63,13.34,391.25,29083.40,14.28,23.18,24.71,26.22,27.61,29.12,30.93,33.15,39.23,15.18
Inter Token Latency (ms),28.63,27.66,30.54,229.00,27.66,27.66,27.67,27.67,28.86,28.87,29.37,29.95,30.42,0.91
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),34.97,32.74,36.15,279.75,32.88,33.41,34.07,34.64,34.65,36.14,36.14,36.15,36.15,1.09
Prefill Throughput Per User (tokens/sec/user),1748.41,1072.15,4479.07,13987.30,1072.39,1073.37,1074.58,1075.84,1570.50,1571.59,2444.22,3461.64,4275.58,1057.38
Request Latency (ms),3993.42,3993.17,3993.65,31947.33,3993.17,3993.19,3993.20,3993.27,3993.45,3993.54,3993.61,3993.63,3993.64,0.16
Time to First Output Token (ms),357.99,114.98,480.34,2863.93,129.86,189.39,263.80,327.69,327.92,478.70,479.26,479.80,480.23,115.56
Time to First Token (ms),357.99,114.98,480.34,2863.93,129.86,189.39,263.80,327.69,327.92,478.70,479.26,479.80,480.23,115.56
Time to Second Token (ms),148.13,25.56,391.25,1185.07,25.68,26.14,26.72,27.21,178.33,178.55,242.45,316.85,376.37,115.68
Tokens In Flight (tokens),4572.37,0.00,5137.00,,,,,,4576.00,,5032.00,5088.00,5128.00,350.81
Usage Completion Tokens (tokens),128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),515.00,515.00,515.00,4120.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,0.00
Usage Total Tokens (tokens),643.00,643.00,643.00,5144.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,0.00

Metric,Value
Benchmark Duration (sec),3.99
Input Token Throughput (tokens/sec),1030.72
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),256.18
Request Count,8.00
Request Throughput (requests/sec),2.00
Total Input Sequence Length (tokens),4120.00
Total Output Sequence Length (tokens),1024.00
Total Output Tokens (tokens),1024.00
Total Token Throughput (tokens/sec),1286.90
Total Usage Completion Tokens (tokens),1024.00
Total Usage Prompt Tokens (tokens),4120.00
Total Usage Total Tokens (tokens),5144.00
