Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1366.32,0.09,108906.52,,,,,,1864.87,,2741.36,2924.00,3653.07,1438.40
Active Decode Throughput Per User (tokens/sec/user),5.39,0.09,425.42,,,,,,7.34,,10.71,11.42,14.27,5.58
Active Prefill Throughput (tokens/sec),11428.73,44.59,43380.53,,,,,,9033.93,,26804.74,35862.45,37020.01,9770.25
Active Prefill Throughput Per User (tokens/sec/user),73.66,44.59,4026.43,,,,,,62.74,,111.76,143.92,197.98,39.81
Active Total Throughput (tokens/sec),6719.64,9.21,43380.53,,,,,,1851.79,,18010.58,26883.97,36931.49,8232.62
Credit-to-Start Latency (ms),12.43,0.41,58.86,50925.49,0.69,0.94,1.63,4.98,10.65,17.40,25.95,30.75,40.58,9.43
Decode Duration (ms),18277.08,12906.91,24044.15,74862899.61,13018.69,13149.20,13828.29,15314.19,18085.63,20912.61,22828.45,23473.52,23565.56,3208.24
E2E Output Token Throughput (tokens/sec/user),5.26,5.19,5.31,21552.51,5.22,5.23,5.23,5.25,5.26,5.28,5.29,5.29,5.30,0.02
Effective Concurrency,255.81,0.00,256.00,,,,,,256.00,,256.00,256.00,256.00,3.76
Effective Decode Concurrency,192.20,0.00,256.00,,,,,,256.00,,256.00,256.00,256.00,84.14
Effective Decode Throughput (tokens/sec),1335.51,0.00,108906.52,,,,,,1684.85,,2738.07,2915.17,3642.06,1436.49
Effective Decode Throughput Per User (tokens/sec/user),5.26,0.00,425.42,,,,,,6.58,,10.70,11.39,14.23,5.58
Effective Latency (CO-aware) (ms),24338.87,24147.61,24673.52,99691996.11,24159.62,24193.53,24211.05,24267.64,24341.10,24402.40,24470.83,24501.58,24553.06,94.96
Effective Prefill Concurrency,63.61,0.00,256.00,,,,,,0.00,,208.00,240.00,256.00,84.00
Effective Prefill Throughput (tokens/sec),5384.09,0.00,43380.53,,,,,,0.00,,17743.89,26797.41,36931.49,8804.27
Effective Prefill Throughput Per User (tokens/sec/user),34.70,0.00,4026.43,,,,,,0.00,,85.31,111.69,149.06,45.81
Effective Total Throughput (tokens/sec),6719.60,0.00,43380.53,,,,,,1851.79,,18010.58,26883.97,36931.49,8232.61
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.12,111.00,128.00,520697.00,114.00,115.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,3.24
HTTP Chunks Sent,1.00,1.00,1.00,4096.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),3.20,0.00,200.85,13093.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.36,58.05,13.23
HTTP Connection Overhead (ms),3.20,0.00,200.85,13093.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.36,58.05,13.23
HTTP Connection Reused (ratio),0.92,0.00,1.00,3757.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.28
HTTP Data Received (KB),32.01,31.66,32.20,131095.54,31.89,31.93,31.95,31.97,32.01,32.04,32.07,32.09,32.12,0.05
HTTP Data Sent (KB),2.33,1.98,2.58,9545.81,2.08,2.16,2.21,2.27,2.33,2.39,2.47,2.50,2.53,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),24326.38,24127.23,24672.58,99640855.90,24152.84,24182.43,24204.42,24256.53,24332.01,24389.67,24451.71,24491.37,24537.80,92.51
HTTP Receiving (ms),18277.07,12906.91,24044.15,74862887.79,13018.69,13149.20,13828.29,15314.19,18085.62,20912.61,22828.45,23473.52,23565.56,3208.24
HTTP Sending (ms),3.30,0.05,201.01,13530.46,0.05,0.06,0.06,0.07,0.09,0.14,0.18,24.45,58.24,13.24
HTTP Total Time (ms),24329.58,24127.23,24873.43,99653949.58,24152.84,24185.28,24214.62,24260.75,24333.67,24390.23,24453.08,24492.63,24539.00,91.99
HTTP Waiting (TTFB) (ms),6046.01,126.80,11412.16,24764437.65,806.10,824.07,1508.76,3348.51,6184.16,9001.67,10520.01,11172.63,11254.30,3207.68
Input Sequence Length (tokens),512.00,512.00,512.00,2097152.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),143.91,0.00,11339.63,74862899.61,4.72,65.20,81.56,93.49,101.51,108.88,123.06,141.53,268.78,554.84
Inter Token Latency (ms),143.91,101.63,189.32,589471.65,102.51,103.54,108.88,120.58,142.41,164.67,179.75,184.83,185.56,25.26
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,524288.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,524288.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),7.17,5.28,9.84,29387.89,5.39,5.41,5.56,6.07,7.02,8.29,9.18,9.66,9.76,1.31
Prefill Throughput Per User (tokens/sec/user),145.73,44.53,4026.43,596923.98,45.17,45.82,48.67,56.88,82.79,152.89,339.31,621.17,635.07,164.41
Request Latency (ms),24326.43,24127.26,24672.67,99641070.61,24152.88,24182.49,24204.47,24256.57,24332.07,24389.75,24451.76,24491.42,24537.84,92.51
Time to First Output Token (ms),6049.36,127.16,11497.21,24778171.00,806.22,824.24,1508.94,3348.73,6184.31,9001.90,10520.16,11174.21,11335.96,3209.57
