Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1345.90,0.00,88195.61,,,,,,1844.42,,2696.10,2862.36,3623.06,1396.19
Active Decode Throughput Per User (tokens/sec/user),5.64,0.00,20497.64,,,,,,7.48,,10.60,11.41,14.88,24.10
Active Prefill Throughput (tokens/sec),9890.97,19.34,43338.29,,,,,,6684.61,,26473.59,31156.98,37202.17,9802.44
Active Prefill Throughput Per User (tokens/sec/user),69.05,19.34,4337.93,,,,,,57.42,,110.94,142.60,193.17,97.41
Active Total Throughput (tokens/sec),6617.36,61.75,43338.29,,,,,,1848.43,,18123.23,26728.01,36820.49,8147.70
Credit-to-Start Latency (ms),14.76,0.46,47.34,60444.96,0.72,1.18,2.68,6.26,13.31,22.06,29.05,32.82,39.49,10.00
Decode Duration (ms),18428.41,2056.62,25067.47,75482770.15,12977.71,13285.27,13917.39,15538.40,18567.82,21300.72,22939.03,23605.09,24114.58,3293.95
E2E Output Token Throughput (tokens/sec/user),5.24,2.55,56.25,21450.50,4.95,4.98,5.12,5.22,5.23,5.25,5.27,5.28,5.32,1.12
Effective Concurrency,254.32,0.00,256.00,,,,,,256.00,,256.00,256.00,256.00,19.76
Effective Decode Concurrency,190.84,0.00,256.00,,,,,,255.00,,256.00,256.00,256.00,85.19
Effective Decode Throughput (tokens/sec),1315.18,0.00,88195.61,,,,,,1714.73,,2691.67,2855.50,3620.03,1394.73
Effective Decode Throughput Per User (tokens/sec/user),5.51,0.00,20497.64,,,,,,6.96,,10.58,11.36,14.83,23.84
Effective Latency (CO-aware) (ms),24572.89,2311.25,50182.86,100650554.14,24086.30,24239.53,24284.27,24417.55,24497.73,24553.23,25036.22,25726.29,25895.99,830.78
Effective Prefill Concurrency,63.48,0.00,256.00,,,,,,1.00,,208.00,240.00,256.00,83.92
Effective Prefill Throughput (tokens/sec),5302.14,0.00,43338.29,,,,,,19.94,,17856.19,26626.41,36820.49,8708.58
Effective Prefill Throughput Per User (tokens/sec/user),37.02,0.00,4337.93,,,,,,19.94,,85.85,111.42,150.74,79.20
Effective Total Throughput (tokens/sec),6617.32,0.00,43338.29,,,,,,1848.43,,18123.23,26728.01,36820.49,8147.69
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.96,75.00,128.00,524105.00,127.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,1.18
HTTP Chunks Sent,1.00,1.00,1.00,4096.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),2.21,0.00,132.61,9048.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.14,51.88,9.39
HTTP Connection Overhead (ms),2.21,0.00,132.61,9048.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.14,51.88,9.39
HTTP Connection Reused (ratio),0.92,0.00,1.00,3760.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.27
HTTP Data Received (KB),32.00,31.64,32.33,131091.81,31.87,31.92,31.94,31.97,32.01,32.04,32.07,32.09,32.13,0.05
HTTP Data Sent (KB),2.33,1.88,2.60,9562.23,2.09,2.17,2.21,2.27,2.34,2.40,2.46,2.49,2.54,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),24558.08,2275.39,50182.01,100589911.62,24078.83,24226.57,24270.77,24399.79,24483.66,24540.13,25012.72,25719.84,25878.47,830.91
HTTP Receiving (ms),18428.41,2056.62,25067.47,75482758.95,12977.71,13285.27,13917.39,15538.40,18567.82,21300.72,22939.02,23605.08,24114.57,3293.95
HTTP Sending (ms),2.31,0.05,132.84,9453.22,0.05,0.06,0.06,0.07,0.09,0.12,0.18,18.26,52.05,9.40
HTTP Total Time (ms),24560.29,2275.39,50185.61,100598960.21,24079.32,24226.57,24270.77,24399.96,24483.87,24551.70,25012.72,25719.91,25878.47,831.36
HTTP Waiting (TTFB) (ms),6127.37,117.82,26464.74,25097699.45,799.93,817.54,1517.05,3409.42,6276.49,9072.03,10616.84,11170.77,11763.62,3298.09
Input Sequence Length (tokens),512.00,512.00,513.00,2097154.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.02
Inter Chunk Latency (ms),145.11,0.00,12165.45,75482770.15,17.68,67.35,82.60,94.58,102.15,109.72,126.91,142.78,229.29,562.65
Inter Token Latency (ms),145.11,16.19,197.38,594352.52,102.19,104.61,109.59,122.35,146.20,167.72,180.62,185.87,189.88,25.94
