Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1237.60,0.12,4046.59,,,,,,1880.89,,2349.00,2486.20,3071.67,1092.41
Active Decode Throughput Per User (tokens/sec/user),6.49,0.12,21.08,,,,,,9.80,,12.23,12.95,16.00,5.65
Active Prefill Throughput (tokens/sec),11366.23,59.22,38858.09,,,,,,8738.49,,29325.42,31545.60,35653.65,9485.33
Active Prefill Throughput Per User (tokens/sec/user),95.11,59.19,2093.70,,,,,,80.91,,155.99,166.03,185.70,69.25
Active Total Throughput (tokens/sec),6177.45,10.88,38858.09,,,,,,1664.50,,17747.07,22749.62,33566.44,7891.42
Credit-to-Start Latency (ms),14.31,0.78,37.17,5494.04,1.09,3.46,3.95,5.36,10.93,23.47,29.50,32.58,35.32,10.12
Decode Duration (ms),15107.34,11148.45,19745.76,5801218.11,11157.18,11287.44,11671.60,13103.81,15218.91,17330.94,18253.45,18931.36,19442.26,2438.12
E2E Output Token Throughput (tokens/sec/user),6.45,6.44,6.47,2478.51,6.44,6.44,6.44,6.45,6.45,6.46,6.47,6.47,6.47,0.01
Effective Concurrency,191.70,0.00,192.00,,,,,,192.00,,192.00,192.00,192.00,6.04
Effective Decode Concurrency,146.04,0.00,192.00,,,,,,192.00,,192.00,192.00,192.00,63.89
Effective Decode Throughput (tokens/sec),1227.68,0.00,4046.59,,,,,,1876.17,,2349.00,2486.20,3071.67,1093.61
Effective Decode Throughput Per User (tokens/sec/user),6.44,0.00,21.08,,,,,,9.77,,12.23,12.95,16.00,5.65
Effective Latency (CO-aware) (ms),19845.63,19804.54,19890.78,7620720.55,19805.89,19811.82,19814.22,19825.76,19852.18,19862.53,19871.44,19876.37,19886.80,21.59
Effective Prefill Concurrency,45.67,0.00,192.00,,,,,,0.00,,158.00,174.00,191.00,63.72
Effective Prefill Throughput (tokens/sec),4949.38,0.00,38858.09,,,,,,0.00,,17515.52,22629.40,33559.95,8422.42
Effective Prefill Throughput Per User (tokens/sec/user),41.41,0.00,2093.70,,,,,,0.00,,110.86,155.99,179.07,65.66
Effective Total Throughput (tokens/sec),6177.05,0.00,38858.09,,,,,,1664.50,,17747.07,22749.62,33566.44,7891.32
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,49152.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,384.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),11.21,0.00,91.12,4304.43,0.00,0.00,0.00,0.00,9.19,23.74,27.65,29.31,71.97,14.26
HTTP Connection Overhead (ms),11.21,0.00,91.12,4304.43,0.00,0.00,0.00,0.00,9.19,23.74,27.65,29.31,71.97,14.26
HTTP Connection Reused (ratio),0.49,0.00,1.00,189.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),32.01,31.79,32.16,12290.67,31.88,31.93,31.95,31.97,32.01,32.04,32.07,32.09,32.11,0.05
HTTP Data Sent (KB),2.34,2.06,2.58,899.13,2.09,2.20,2.23,2.28,2.34,2.40,2.46,2.49,2.54,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),19831.26,19782.69,19882.10,7615205.22,19783.60,19786.60,19793.64,19806.97,19835.52,19856.53,19864.05,19867.95,19875.10,28.69
HTTP Receiving (ms),15107.34,11148.44,19745.76,5801218.29,11157.18,11287.43,11671.59,13103.81,15218.91,17330.93,18253.45,18931.36,19442.25,2438.12
HTTP Sending (ms),11.33,0.05,91.27,4350.67,0.06,0.07,0.08,0.10,9.28,23.85,27.74,29.52,72.13,14.26
HTTP Total Time (ms),19842.47,19782.69,19911.18,7619509.65,19783.60,19786.60,19793.64,19807.26,19859.96,19883.79,19890.34,19895.70,19905.55,39.61
HTTP Waiting (TTFB) (ms),4712.59,109.60,8647.74,1809636.25,360.11,910.23,1587.75,2458.55,4591.70,6713.16,8136.43,8549.74,8645.49,2439.63
Input Sequence Length (tokens),512.00,512.00,512.00,196608.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),118.96,34.82,8580.36,5801218.11,46.71,63.13,75.79,82.63,87.81,93.21,102.79,114.71,152.54,408.47
Inter Token Latency (ms),118.96,87.78,155.48,45678.88,87.85,88.88,91.90,103.18,119.83,136.46,143.73,149.07,153.09,19.20
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,49152.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,49152.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),8.64,6.43,11.39,3316.03,6.53,6.71,6.96,7.33,8.34,9.69,10.88,11.25,11.38,1.43
Prefill Throughput Per User (tokens/sec/user),194.04,59.10,4656.50,74511.75,59.17,59.67,62.93,76.27,111.50,208.24,319.85,555.43,1420.86,326.53
Request Latency (ms),19831.32,19782.73,19882.15,7615226.52,19783.63,19786.64,19793.69,19807.01,19835.57,19856.60,19864.11,19868.05,19875.14,28.69
Time to First Output Token (ms),4723.98,109.95,8662.70,1814008.40,360.35,921.81,1600.76,2458.72,4591.87,6713.30,8136.57,8581.06,8653.01,2444.29
Time to First Token (ms),4723.98,109.95,8662.70,1814008.40,360.35,921.81,1600.76,2458.72,4591.87,6713.30,8136.57,8581.06,8653.01,2444.29
Time to Second Token (ms),4001.25,104.43,8580.36,1536481.63,105.30,114.73,616.53,2047.63,4174.04,6303.99,7086.82,7768.68,8416.03,2443.79
Tokens In Flight (tokens),105325.24,0.00,122689.00,,,,,,101376.12,,118711.83,120767.91,122304.00,8745.27
Usage Completion Tokens (tokens),128.00,128.00,128.00,49152.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),512.00,512.00,512.00,196608.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Usage Total Tokens (tokens),640.00,640.00,640.00,245760.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.00

Metric,Value
Benchmark Duration (sec),39.72
Input Token Throughput (tokens/sec),4949.38
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1237.34
Request Count,384.00
Request Throughput (requests/sec),9.67
Total Input Sequence Length (tokens),196608.00
Total Output Sequence Length (tokens),49152.00
Total Output Tokens (tokens),49152.00
Total Token Throughput (tokens/sec),6186.72
Total Usage Completion Tokens (tokens),49152.00
Total Usage Prompt Tokens (tokens),196608.00
Total Usage Total Tokens (tokens),245760.00
