Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),603.01,0.67,115899.20,,,,,,708.10,,810.06,852.53,999.74,458.83
Active Decode Throughput Per User (tokens/sec/user),18.97,0.67,3621.85,,,,,,22.13,,25.31,26.64,31.24,14.19
Active Prefill Throughput (tokens/sec),10570.45,322.10,19340.48,,,,,,11420.80,,18540.65,18540.65,19340.48,5694.92
Active Prefill Throughput Per User (tokens/sec/user),431.98,322.04,1088.75,,,,,,407.89,,579.40,604.39,604.39,102.45
Active Total Throughput (tokens/sec),2875.47,22.74,19340.48,,,,,,685.01,,11495.02,18540.65,19340.48,4896.29
Credit-to-Start Latency (ms),2.30,0.62,5.84,147.30,0.65,0.75,0.83,1.11,2.05,3.43,3.83,4.33,5.38,1.30
Decode Duration (ms),5997.65,5538.12,6970.85,383849.91,5538.26,5540.52,5556.62,5581.73,6043.55,6277.66,6481.07,6754.64,6865.39,411.42
E2E Output Token Throughput (tokens/sec/user),18.01,17.91,18.12,1152.90,17.91,17.91,17.92,17.95,18.01,18.08,18.10,18.12,18.12,0.07
Effective Concurrency,31.97,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,0.82
Effective Decode Concurrency,26.98,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,10.21
Effective Decode Throughput (tokens/sec),571.39,0.00,115899.20,,,,,,700.16,,809.50,847.98,999.74,466.42
Effective Decode Throughput Per User (tokens/sec/user),17.98,0.00,3621.85,,,,,,21.88,,25.30,26.50,31.24,14.45
Effective Latency (CO-aware) (ms),7107.97,7066.56,7150.80,454909.99,7066.59,7066.83,7072.25,7083.13,7109.45,7131.88,7145.36,7150.38,7150.77,28.66
Effective Prefill Concurrency,4.99,0.00,32.00,,,,,,0.00,,28.00,32.00,32.00,10.18
Effective Prefill Throughput (tokens/sec),2303.56,0.00,19340.48,,,,,,0.00,,11420.80,18540.65,19340.48,5109.90
Effective Prefill Throughput Per User (tokens/sec/user),94.14,0.00,1088.75,,,,,,0.00,,407.89,579.40,604.39,184.64
Effective Total Throughput (tokens/sec),2874.95,0.00,19340.48,,,,,,685.01,,11495.02,18540.65,19340.48,4896.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,8192.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.49,0.00,16.53,351.10,0.00,0.00,0.00,0.00,0.00,10.21,12.66,16.18,16.49,5.90
HTTP Connection Overhead (ms),5.49,0.00,16.53,351.10,0.00,0.00,0.00,0.00,0.00,10.21,12.66,16.18,16.49,5.90
HTTP Connection Reused (ratio),0.52,0.00,1.00,33.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),32.02,31.92,32.15,2049.30,31.93,31.95,31.97,31.99,32.02,32.05,32.08,32.10,32.13,0.04
HTTP Data Sent (KB),2.34,2.09,2.58,149.61,2.11,2.17,2.21,2.27,2.34,2.40,2.47,2.49,2.53,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7105.58,7065.68,7147.69,454756.84,7065.69,7065.82,7071.00,7081.24,7105.63,7129.03,7141.68,7146.53,7147.45,28.14
HTTP Receiving (ms),5997.66,5538.12,6970.84,383850.05,5538.25,5540.52,5556.62,5581.73,6043.57,6277.66,6481.07,6754.66,6865.39,411.42
HTTP Sending (ms),5.69,0.07,16.68,364.42,0.08,0.11,0.12,0.15,0.34,10.65,12.80,16.34,16.66,5.94
HTTP Total Time (ms),7111.06,7065.68,7163.04,455107.94,7065.69,7065.82,7071.00,7081.24,7112.66,7139.33,7153.04,7158.83,7163.01,33.38
HTTP Waiting (TTFB) (ms),1102.22,157.90,1580.58,70542.37,258.40,367.40,600.32,804.79,1074.39,1499.39,1575.87,1577.99,1580.52,412.43
Input Sequence Length (tokens),512.00,512.00,512.00,32768.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),47.23,0.07,1485.92,383849.91,28.22,35.35,37.93,41.04,43.83,46.65,49.62,52.20,67.71,53.85
