Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),116.35,10.62,214.41,,,,,,119.68,,133.90,139.16,171.88,25.06
Active Decode Throughput Per User (tokens/sec/user),58.36,10.62,107.20,,,,,,59.84,,66.95,69.58,85.94,11.74
Active Prefill Throughput (tokens/sec),5155.23,2578.17,6812.96,,,,,,6812.96,,6812.96,6812.96,6812.96,2066.67
Active Prefill Throughput Per User (tokens/sec/user),3082.52,2578.17,4234.79,,,,,,3406.48,,3406.48,3406.48,3406.48,404.58
Active Total Throughput (tokens/sec),557.11,60.33,6812.96,,,,,,118.51,,118.51,6812.96,6812.96,1544.95
Credit-to-Start Latency (ms),0.89,0.86,0.93,1.79,0.86,0.86,0.87,0.88,0.89,0.91,0.92,0.92,0.93,0.03
Decode Duration (ms),2144.06,2104.97,2183.15,4288.12,2105.75,2108.88,2112.79,2124.52,2144.06,2163.61,2175.33,2179.24,2182.37,39.09
E2E Output Token Throughput (tokens/sec/user),55.54,55.54,55.54,111.08,55.54,55.54,55.54,55.54,55.54,55.54,55.54,55.54,55.54,0.00
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.07
Effective Decode Concurrency,1.86,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.48
Effective Decode Throughput (tokens/sec),110.07,0.00,214.41,,,,,,119.49,,133.01,138.34,171.88,35.85
Effective Decode Throughput Per User (tokens/sec/user),55.21,0.00,107.20,,,,,,59.74,,66.50,69.17,85.94,17.44
Effective Latency (CO-aware) (ms),2305.64,2305.58,2305.69,4611.28,2305.58,2305.59,2305.59,2305.61,2305.64,2305.66,2305.68,2305.69,2305.69,0.05
Effective Prefill Concurrency,0.14,0.00,2.00,,,,,,0.00,,0.00,2.00,2.00,0.47
Effective Prefill Throughput (tokens/sec),446.33,0.00,6812.96,,,,,,0.00,,0.00,6812.96,6812.96,1572.10
Effective Prefill Throughput Per User (tokens/sec/user),266.88,0.00,4234.79,,,,,,0.00,,0.00,3406.48,3406.48,874.99
Effective Total Throughput (tokens/sec),556.39,0.00,6812.96,,,,,,118.51,,118.51,6812.96,6812.96,1544.09
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
