Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),427.46,1.28,66130.02,,,,,,452.60,,518.21,542.24,626.16,335.08
Active Decode Throughput Per User (tokens/sec/user),26.83,1.28,4133.13,,,,,,28.29,,32.39,33.96,39.14,20.81
Active Prefill Throughput (tokens/sec),10054.42,593.20,15251.96,,,,,,10735.63,,10735.63,15251.96,15251.96,1817.78
Active Prefill Throughput Per User (tokens/sec/user),663.32,593.20,1425.70,,,,,,670.98,,700.25,953.25,953.25,87.69
Active Total Throughput (tokens/sec),1970.66,29.17,15251.96,,,,,,466.83,,8387.11,10735.63,15251.96,3570.45
Credit-to-Start Latency (ms),1.65,0.64,3.39,52.86,0.66,0.73,0.85,0.97,1.16,2.42,3.10,3.32,3.37,0.93
Decode Duration (ms),4417.01,4352.20,5145.75,141344.28,4352.20,4352.24,4352.27,4352.28,4373.77,4395.90,4396.56,4678.27,5107.08,173.98
E2E Output Token Throughput (tokens/sec/user),24.69,24.33,25.04,790.05,24.33,24.34,24.35,24.36,24.69,25.02,25.04,25.04,25.04,0.33
Effective Concurrency,15.99,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,0.37
Effective Decode Concurrency,13.62,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,5.52
Effective Decode Throughput (tokens/sec),391.56,0.00,66130.02,,,,,,449.60,,517.83,542.07,623.75,341.91
Effective Decode Throughput Per User (tokens/sec/user),24.58,0.00,4133.13,,,,,,28.10,,32.36,33.88,38.98,21.26
Effective Latency (CO-aware) (ms),5187.10,5112.02,5262.15,165987.29,5112.48,5113.49,5113.85,5117.69,5187.57,5256.55,5260.35,5260.45,5261.64,70.22
Effective Prefill Concurrency,2.37,0.00,16.00,,,,,,0.00,,14.00,16.00,16.00,5.51
Effective Prefill Throughput (tokens/sec),1578.56,0.00,15251.96,,,,,,0.00,,8337.14,10735.63,15251.96,3728.07
Effective Prefill Throughput Per User (tokens/sec/user),104.14,0.00,1425.70,,,,,,0.00,,595.51,670.98,953.25,243.81
Effective Total Throughput (tokens/sec),1970.12,0.00,15251.96,,,,,,466.83,,8387.11,10735.63,15251.96,3570.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.97,127.00,128.00,4095.00,127.31,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.17
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.90,0.00,12.05,188.66,0.00,0.00,0.00,0.00,5.81,10.20,11.91,12.02,12.04,4.96
HTTP Connection Overhead (ms),5.90,0.00,12.05,188.66,0.00,0.00,0.00,0.00,5.81,10.20,11.91,12.02,12.04,4.96
HTTP Connection Reused (ratio),0.38,0.00,1.00,12.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),32.01,31.89,32.10,1024.16,31.90,31.93,31.95,31.99,32.01,32.03,32.06,32.07,32.09,0.04
HTTP Data Sent (KB),2.35,2.12,2.58,75.06,2.14,2.21,2.24,2.28,2.34,2.41,2.45,2.49,2.55,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5185.33,5111.31,5260.69,165930.45,5111.35,5112.07,5112.74,5116.63,5185.45,5253.88,5257.02,5258.05,5260.18,69.63
HTTP Receiving (ms),4417.01,4352.18,5145.75,141344.39,4352.19,4352.23,4352.26,4352.27,4373.77,4395.90,4396.59,4678.27,5107.08,173.98
HTTP Sending (ms),6.16,0.12,12.51,197.24,0.12,0.14,0.17,0.22,5.99,10.40,12.41,12.49,12.51,5.05
HTTP Total Time (ms),5191.22,5111.45,5272.74,166119.11,5111.80,5112.77,5114.07,5117.20,5188.95,5265.05,5267.07,5268.93,5272.14,73.39
HTTP Waiting (TTFB) (ms),762.15,107.49,850.59,24388.82,147.32,520.28,753.64,759.64,764.93,846.80,850.07,850.31,850.51,159.05
Input Sequence Length (tokens),512.00,512.00,512.00,16384.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),34.78,0.00,778.29,141344.28,3.26,27.48,29.62,32.28,34.56,36.50,38.93,41.50,58.62,16.45
Inter Token Latency (ms),34.78,34.27,40.52,1112.95,34.27,34.27,34.27,34.27,34.44,34.61,34.62,36.84,40.21,1.37
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
