Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),625.45,0.00,125732.87,,,,,,732.97,,809.64,847.52,939.76,487.44
Active Decode Throughput Per User (tokens/sec/user),19.66,0.00,3929.15,,,,,,22.91,,25.30,26.49,29.37,15.09
Active Prefill Throughput (tokens/sec),10662.97,330.75,19996.93,,,,,,13422.50,,16196.03,16196.03,19996.93,5393.36
Active Prefill Throughput Per User (tokens/sec/user),426.39,330.75,1330.63,,,,,,447.42,,506.13,515.36,624.90,84.52
Active Total Throughput (tokens/sec),2943.29,22.95,19996.93,,,,,,708.59,,13460.12,16196.03,16196.03,4869.12
Credit-to-Start Latency (ms),2.82,0.53,5.53,180.66,0.63,0.83,1.09,1.57,2.92,3.62,4.81,5.09,5.51,1.36
Decode Duration (ms),5810.15,5365.97,6789.52,371849.85,5366.18,5366.89,5368.15,5531.48,5975.31,6188.74,6192.30,6193.17,6742.13,365.82
E2E Output Token Throughput (tokens/sec/user),18.44,18.33,18.53,1180.12,18.34,18.35,18.36,18.37,18.44,18.51,18.52,18.52,18.53,0.08
Effective Concurrency,31.97,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,0.80
Effective Decode Concurrency,26.76,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,10.64
Effective Decode Throughput (tokens/sec),584.87,0.00,125732.87,,,,,,729.28,,807.61,846.52,939.76,495.90
Effective Decode Throughput Per User (tokens/sec/user),18.39,0.00,3929.15,,,,,,22.79,,25.24,26.45,29.37,15.38
Effective Latency (CO-aware) (ms),6944.62,6908.20,6983.25,444455.38,6908.82,6912.04,6915.57,6916.90,6945.00,6971.96,6974.71,6976.07,6981.83,28.37
Effective Prefill Concurrency,5.21,0.00,32.00,,,,,,0.00,,30.00,32.00,32.00,10.61
Effective Prefill Throughput (tokens/sec),2357.90,0.00,19996.93,,,,,,0.00,,13422.50,16196.03,16196.03,5100.48
Effective Prefill Throughput Per User (tokens/sec/user),94.29,0.00,1330.63,,,,,,0.00,,447.42,506.13,540.56,181.36
Effective Total Throughput (tokens/sec),2942.77,0.00,19996.93,,,,,,708.59,,13460.12,16196.03,16196.03,4868.85
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.98,127.00,128.00,8191.00,127.63,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.12
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.15,0.00,12.73,329.61,0.00,0.00,0.00,0.00,0.00,10.32,11.81,12.10,12.52,5.37
HTTP Connection Overhead (ms),5.15,0.00,12.73,329.61,0.00,0.00,0.00,0.00,0.00,10.32,11.81,12.10,12.52,5.37
HTTP Connection Reused (ratio),0.52,0.00,1.00,33.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),32.01,31.90,32.13,2048.67,31.91,31.95,31.97,31.99,32.01,32.03,32.06,32.07,32.12,0.04
HTTP Data Sent (KB),2.34,2.09,2.58,149.61,2.11,2.17,2.21,2.27,2.34,2.40,2.47,2.49,2.53,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6941.71,6906.03,6982.51,444269.39,6906.18,6910.34,6912.00,6913.83,6942.04,6969.02,6971.53,6974.77,6980.36,28.39
HTTP Receiving (ms),5810.16,5366.00,6789.52,371850.07,5366.20,5366.91,5368.16,5531.48,5975.31,6188.73,6192.30,6193.17,6742.13,365.82
HTTP Sending (ms),5.33,0.06,13.22,341.44,0.06,0.07,0.09,0.12,0.24,10.58,12.34,12.61,12.95,5.44
HTTP Total Time (ms),6946.86,6914.71,6991.68,444599.00,6915.45,6916.63,6921.68,6923.94,6948.15,6969.02,6971.53,6974.77,6983.76,23.75
HTTP Waiting (TTFB) (ms),1126.22,127.00,1538.29,72077.88,173.10,776.22,776.52,786.11,921.67,1438.11,1534.52,1535.41,1538.15,362.04
