Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),113.95,10.63,241.28,,,,,,116.51,,132.70,139.72,174.94,25.11
Active Decode Throughput Per User (tokens/sec/user),57.16,10.63,120.64,,,,,,58.25,,66.35,69.86,87.47,11.79
Active Prefill Throughput (tokens/sec),5197.22,2602.04,6924.19,,,,,,6924.19,,6924.19,6924.19,6924.19,2115.63
Active Prefill Throughput Per User (tokens/sec/user),3120.27,2602.04,4322.14,,,,,,3462.09,,3462.09,3462.09,3462.09,423.20
Active Total Throughput (tokens/sec),546.79,59.07,6924.19,,,,,,116.04,,116.04,6924.19,6924.19,1542.99
Credit-to-Start Latency (ms),1.18,1.11,1.25,2.35,1.11,1.11,1.12,1.14,1.18,1.21,1.23,1.24,1.25,0.07
Decode Duration (ms),2189.57,2150.06,2229.09,4379.15,2150.85,2154.01,2157.96,2169.82,2189.57,2209.33,2221.18,2225.14,2228.30,39.51
E2E Output Token Throughput (tokens/sec/user),54.51,54.51,54.51,109.02,54.51,54.51,54.51,54.51,54.51,54.51,54.51,54.51,54.51,0.00
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.07
Effective Decode Concurrency,1.86,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.47
Effective Decode Throughput (tokens/sec),108.04,0.00,241.28,,,,,,115.85,,131.63,139.72,174.94,35.15
Effective Decode Throughput Per User (tokens/sec/user),54.20,0.00,120.64,,,,,,57.92,,65.81,69.86,87.47,17.10
Effective Latency (CO-aware) (ms),2349.29,2349.23,2349.35,4698.58,2349.23,2349.23,2349.24,2349.26,2349.29,2349.32,2349.34,2349.34,2349.35,0.06
Effective Prefill Concurrency,0.13,0.00,2.00,,,,,,0.00,,0.00,2.00,2.00,0.47
Effective Prefill Throughput (tokens/sec),438.13,0.00,6924.19,,,,,,0.00,,0.00,6924.19,6924.19,1569.21
Effective Prefill Throughput Per User (tokens/sec/user),263.04,0.00,4322.14,,,,,,0.00,,0.00,3462.09,3462.09,875.59
Effective Total Throughput (tokens/sec),546.17,0.00,6924.19,,,,,,116.04,,116.04,6924.19,6924.19,1542.23
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),6.84,3.39,10.30,13.69,3.46,3.73,4.08,5.12,6.84,8.57,9.61,9.96,10.23,3.46
HTTP Connection Overhead (ms),6.84,3.39,10.30,13.69,3.46,3.73,4.08,5.12,6.84,8.57,9.61,9.96,10.23,3.46
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),32.02,31.97,32.06,64.03,31.97,31.98,31.98,31.99,32.02,32.04,32.05,32.06,32.06,0.05
