Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),526.06,0.55,2079.77,,,,,,661.26,,749.73,783.33,935.17,295.33
Active Decode Throughput Per User (tokens/sec/user),8.35,0.27,37.48,,,,,,10.34,,11.72,12.27,14.99,4.64
Active Prefill Throughput (tokens/sec),2578.40,26.22,22782.54,,,,,,1814.43,,3572.99,6470.76,17625.12,2797.90
Active Prefill Throughput Per User (tokens/sec/user),33.19,26.22,816.75,,,,,,28.35,,28.48,68.84,139.88,20.99
Active Total Throughput (tokens/sec),2609.20,10.71,22782.54,,,,,,2432.58,,3242.94,4176.13,17641.59,2610.62
Credit-to-Start Latency (ms),3.16,0.59,7.05,809.34,0.66,0.77,0.93,1.73,3.37,4.23,5.15,5.52,6.45,1.53
Decode Duration (ms),13239.40,11754.86,15417.11,3389287.21,11758.63,11777.58,11822.79,12549.92,13448.41,14358.91,14470.24,14569.82,15325.79,1022.90
E2E Output Token Throughput (tokens/sec/user),5.10,4.08,8.20,1306.04,4.08,4.08,4.08,4.09,4.09,5.11,8.15,8.15,8.15,1.76
Effective Concurrency,111.93,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,27.78
Effective Decode Concurrency,54.06,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,19.59
Effective Decode Throughput (tokens/sec),518.55,0.00,2079.77,,,,,,660.29,,749.69,783.33,935.17,299.78
Effective Decode Throughput Per User (tokens/sec/user),8.23,0.00,37.48,,,,,,10.32,,11.71,12.27,14.99,4.71
Effective Latency (CO-aware) (ms),27415.42,15618.50,31386.42,7018347.06,15711.49,15714.19,15716.15,27335.80,31281.99,31338.28,31364.79,31367.63,31370.58,6750.11
Effective Prefill Concurrency,57.87,0.00,128.00,,,,,,64.00,,110.00,126.00,128.00,33.92
Effective Prefill Throughput (tokens/sec),2090.54,0.00,22782.54,,,,,,1814.43,,3085.66,3712.16,17625.12,2714.22
Effective Prefill Throughput Per User (tokens/sec/user),26.91,0.00,816.75,,,,,,28.28,,28.48,47.59,139.88,22.94
Effective Total Throughput (tokens/sec),2609.09,0.00,22782.54,,,,,,2432.58,,3242.94,4176.13,17641.59,2610.62
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,32768.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),9.93,0.00,32.67,2542.32,0.00,0.00,0.00,0.00,10.47,22.83,26.24,27.04,30.03,10.71
HTTP Connection Overhead (ms),9.93,0.00,32.67,2542.32,0.00,0.00,0.00,0.00,10.47,22.83,26.24,27.04,30.03,10.71
HTTP Connection Reused (ratio),0.48,0.00,1.00,123.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),32.14,31.88,32.30,8227.30,32.01,32.06,32.08,32.11,32.14,32.17,32.19,32.21,32.24,0.05
HTTP Data Sent (KB),2.34,2.07,2.58,600.24,2.09,2.20,2.23,2.29,2.34,2.40,2.46,2.49,2.53,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),27412.19,15615.53,31383.97,7017520.40,15708.19,15711.81,15712.64,27331.04,31279.36,31333.51,31363.44,31364.71,31367.77,6750.24
HTTP Receiving (ms),13239.40,11754.86,15417.11,3389287.05,11758.63,11777.58,11822.80,12549.92,13448.41,14358.90,14470.23,14569.81,15325.79,1022.90
HTTP Sending (ms),10.08,0.06,32.81,2580.38,0.06,0.09,0.11,0.14,10.57,23.00,26.33,27.19,30.17,10.71
HTTP Total Time (ms),27422.12,15615.53,31415.55,7020062.72,15720.05,15724.37,15726.68,27344.89,31300.97,31349.72,31363.44,31364.71,31378.80,6749.02
HTTP Waiting (TTFB) (ms),14162.71,198.18,19527.85,3625652.97,1122.75,1129.81,2045.03,12898.03,17719.91,18712.29,19485.75,19522.96,19527.46,6890.83
Input Sequence Length (tokens),512.00,512.00,512.00,131072.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),104.25,26.68,3648.92,3389287.21,58.57,74.76,82.16,88.10,93.33,98.33,104.16,114.27,147.97,153.77
Inter Token Latency (ms),104.25,92.56,121.39,26687.30,92.59,92.74,93.09,98.82,105.89,113.06,113.94,114.72,120.68,8.05
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
