Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),81.76,6.70,28223.76,,,,,,84.32,,94.57,97.61,139.23,135.25
Active Decode Throughput Per User (tokens/sec/user),41.02,6.70,14111.88,,,,,,42.16,,47.29,48.81,69.61,67.55
Active Prefill Throughput (tokens/sec),3571.51,1786.03,4981.16,,,,,,4981.16,,4981.16,4981.16,4981.16,1586.35
Active Prefill Throughput Per User (tokens/sec/user),2179.91,1786.03,3195.13,,,,,,2490.58,,2490.58,2490.58,2490.58,350.03
Active Total Throughput (tokens/sec),392.91,40.88,4981.16,,,,,,83.50,,83.50,1826.91,4981.16,1097.95
Credit-to-Start Latency (ms),1.19,1.15,1.22,2.37,1.15,1.15,1.16,1.17,1.19,1.20,1.21,1.22,1.22,0.03
Decode Duration (ms),3043.15,2979.54,3106.75,6086.30,2980.82,2985.90,2992.26,3011.35,3043.15,3074.95,3094.03,3100.39,3105.48,63.61
E2E Output Token Throughput (tokens/sec/user),39.17,39.17,39.17,78.34,39.17,39.17,39.17,39.17,39.17,39.17,39.17,39.17,39.17,0.00
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.07
Effective Decode Concurrency,1.86,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.47
Effective Decode Throughput (tokens/sec),77.64,0.00,28223.76,,,,,,83.38,,94.24,97.61,112.20,133.01
Effective Decode Throughput Per User (tokens/sec/user),38.95,0.00,14111.88,,,,,,41.69,,47.12,48.81,56.10,66.44
Effective Latency (CO-aware) (ms),3269.10,3269.04,3269.16,6538.20,3269.04,3269.05,3269.06,3269.07,3269.10,3269.13,3269.15,3269.15,3269.16,0.06
Effective Prefill Concurrency,0.14,0.00,2.00,,,,,,0.00,,0.00,1.00,2.00,0.47
Effective Prefill Throughput (tokens/sec),314.85,0.00,4981.16,,,,,,0.00,,0.00,1786.03,4981.16,1116.78
Effective Prefill Throughput Per User (tokens/sec/user),192.17,0.00,3195.13,,,,,,0.00,,0.00,1786.03,2490.58,626.73
Effective Total Throughput (tokens/sec),392.49,0.00,4981.16,,,,,,83.50,,83.50,1826.91,4981.16,1097.44
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),7.04,7.04,7.05,14.09,7.04,7.04,7.04,7.04,7.04,7.05,7.05,7.05,7.05,0.01
HTTP Connection Overhead (ms),7.04,7.04,7.05,14.09,7.04,7.04,7.04,7.04,7.04,7.05,7.05,7.05,7.05,0.01
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),32.03,32.02,32.05,64.07,32.02,32.02,32.02,32.02,32.03,32.04,32.05,32.05,32.05,0.02
HTTP Data Sent (KB),2.10,1.99,2.21,4.20,2.00,2.00,2.01,2.05,2.10,2.16,2.19,2.20,2.21,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3267.66,3267.65,3267.67,6535.32,3267.65,3267.65,3267.65,3267.65,3267.66,3267.66,3267.67,3267.67,3267.67,0.01
HTTP Receiving (ms),3043.16,2979.55,3106.76,6086.32,2980.83,2985.91,2992.28,3011.36,3043.16,3074.96,3094.04,3100.40,3105.49,63.60
HTTP Sending (ms),7.44,7.44,7.45,14.89,7.44,7.44,7.44,7.44,7.44,7.45,7.45,7.45,7.45,0.01
HTTP Total Time (ms),3274.70,3274.69,3274.72,6549.41,3274.69,3274.69,3274.69,3274.70,3274.70,3274.71,3274.72,3274.72,3274.72,0.02
HTTP Waiting (TTFB) (ms),217.06,153.45,280.66,434.11,154.72,159.81,166.17,185.25,217.06,248.86,267.94,274.30,279.39,63.60
Input Sequence Length (tokens),515.00,515.00,515.00,1030.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,0.00
Inter Chunk Latency (ms),23.96,0.07,149.20,6086.30,5.74,19.24,20.74,22.15,23.29,24.88,26.74,28.16,47.92,9.28
Inter Token Latency (ms),23.96,23.46,24.46,47.92,23.47,23.51,23.56,23.71,23.96,24.21,24.36,24.41,24.45,0.50
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),41.75,40.88,42.62,83.50,40.90,40.97,41.05,41.32,41.75,42.19,42.45,42.54,42.61,0.87
Prefill Throughput Per User (tokens/sec/user),2490.58,1786.03,3195.13,4981.16,1800.12,1856.48,1926.94,2138.30,2490.58,2842.85,3054.22,3124.67,3181.03,704.55
Request Latency (ms),3267.91,3267.89,3267.94,6535.83,3267.89,3267.89,3267.90,3267.90,3267.91,3267.93,3267.93,3267.93,3267.94,0.02
Time to First Output Token (ms),224.77,161.18,288.35,449.53,162.45,167.54,173.90,192.97,224.77,256.56,275.63,281.99,287.08,63.58
Time to First Token (ms),224.77,161.18,288.35,449.53,162.45,167.54,173.90,192.97,224.77,256.56,275.63,281.99,287.08,63.58
Time to Second Token (ms),85.60,21.99,149.20,171.20,23.27,28.35,34.71,53.80,85.60,117.40,136.48,142.84,147.93,63.61
Tokens In Flight (tokens),1144.04,0.00,1285.00,,,,,,1142.00,,1256.00,1270.00,1282.00,86.95
Usage Completion Tokens (tokens),128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),515.00,515.00,515.00,1030.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,0.00
Usage Total Tokens (tokens),643.00,643.00,643.00,1286.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,0.00

Metric,Value
Benchmark Duration (sec),3.27
Input Token Throughput (tokens/sec),314.85
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),78.25
Request Count,2.00
Request Throughput (requests/sec),0.61
Total Input Sequence Length (tokens),1030.00
Total Output Sequence Length (tokens),256.00
Total Output Tokens (tokens),256.00
Total Token Throughput (tokens/sec),393.10
Total Usage Completion Tokens (tokens),256.00
Total Usage Prompt Tokens (tokens),1030.00
Total Usage Total Tokens (tokens),1286.00
