Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),523.75,0.00,72805.85,,,,,,653.98,,757.86,802.73,1126.61,506.07
Active Decode Throughput Per User (tokens/sec/user),8.31,0.00,10582.46,,,,,,10.22,,11.85,12.57,17.70,17.01
Active Prefill Throughput (tokens/sec),2783.06,133.42,20797.96,,,,,,951.61,,6447.56,9860.94,17315.00,3541.20
Active Prefill Throughput Per User (tokens/sec/user),54.66,29.59,896.23,,,,,,29.74,,124.82,153.17,182.26,42.40
Active Total Throughput (tokens/sec),2606.13,10.08,20797.96,,,,,,1558.82,,6083.82,6943.34,17323.24,3127.26
Credit-to-Start Latency (ms),6.69,0.55,23.31,1284.49,0.75,1.16,2.87,3.55,5.08,9.94,13.04,14.91,20.45,4.45
Decode Duration (ms),13258.08,11746.81,15484.22,2545551.02,11747.72,11750.53,11928.38,12586.81,13468.19,14390.97,14609.36,14676.26,15251.08,1020.93
E2E Output Token Throughput (tokens/sec/user),6.80,4.07,8.23,1305.19,4.07,4.07,4.07,4.09,8.13,8.15,8.22,8.22,8.22,1.92
Effective Concurrency,85.34,0.00,96.00,,,,,,96.00,,96.00,96.00,96.00,15.17
Effective Decode Concurrency,54.07,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,19.63
Effective Decode Throughput (tokens/sec),517.93,0.00,72805.85,,,,,,653.13,,757.83,800.23,1126.61,506.24
Effective Decode Throughput Per User (tokens/sec/user),8.21,0.00,10582.46,,,,,,10.21,,11.84,12.57,17.70,16.94
Effective Latency (CO-aware) (ms),20931.62,15547.12,31491.58,4018870.92,15580.09,15583.55,15585.11,15704.00,15746.82,31322.17,31481.29,31483.41,31487.15,7404.71
Effective Prefill Concurrency,31.27,0.00,96.00,,,,,,32.00,,63.00,79.00,95.00,24.61
Effective Prefill Throughput (tokens/sec),2088.05,0.00,20797.96,,,,,,946.83,,5897.38,6935.14,17315.00,3295.41
Effective Prefill Throughput Per User (tokens/sec/user),41.01,0.00,896.23,,,,,,29.59,,93.61,133.90,182.26,43.69
Effective Total Throughput (tokens/sec),2605.98,0.00,20797.96,,,,,,1558.82,,6083.82,6943.34,17323.24,3127.24
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,24576.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,192.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),12.20,0.00,29.19,2343.02,0.00,0.00,0.00,0.00,5.68,25.95,26.76,27.10,28.38,12.57
HTTP Connection Overhead (ms),12.20,0.00,29.19,2343.02,0.00,0.00,0.00,0.00,5.68,25.95,26.76,27.10,28.38,12.57
HTTP Connection Reused (ratio),0.50,0.00,1.00,96.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),32.14,31.88,32.30,6170.69,31.99,32.06,32.08,32.11,32.14,32.17,32.20,32.21,32.24,0.05
HTTP Data Sent (KB),2.34,2.07,2.58,448.95,2.09,2.20,2.22,2.28,2.34,2.40,2.45,2.49,2.53,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),20924.82,15546.20,31486.32,4017566.32,15569.55,15573.07,15575.77,15701.05,15740.21,31309.30,31476.49,31478.68,31481.80,7403.58
HTTP Receiving (ms),13258.04,11746.80,15484.22,2545543.29,11747.72,11750.34,11928.38,12586.81,13468.19,14390.97,14609.35,14676.26,15251.07,1020.96
HTTP Sending (ms),12.35,0.06,29.51,2370.50,0.06,0.08,0.09,0.10,6.01,26.10,26.89,27.21,28.55,12.59
HTTP Total Time (ms),20937.03,15546.20,31515.51,4019909.34,15569.55,15573.07,15575.77,15724.01,15753.18,31309.30,31502.74,31505.48,31508.77,7404.65
HTTP Waiting (TTFB) (ms),7654.44,146.69,17843.26,1469652.53,1072.83,1083.95,1985.09,2899.54,3750.55,16774.72,17753.81,17836.94,17843.01,6843.17
Input Sequence Length (tokens),512.00,512.00,512.00,98304.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),104.39,0.09,3687.05,2545551.02,5.05,58.04,75.20,86.22,92.67,98.84,110.25,142.27,198.98,153.16
Inter Token Latency (ms),104.39,92.49,121.92,20043.71,92.50,92.52,93.92,99.11,106.05,113.31,115.03,115.56,120.09,8.04
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,24576.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,24576.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),9.64,8.20,10.81,1850.14,8.33,8.65,8.69,8.82,9.43,10.09,10.65,10.81,10.81,0.74
Prefill Throughput Per User (tokens/sec/user),165.61,28.67,3482.97,31796.32,28.69,28.70,28.80,30.47,135.63,175.44,254.65,466.00,467.45,268.21
Request Latency (ms),20924.93,15546.27,31486.39,4017586.43,15569.59,15573.11,15575.81,15701.14,15740.25,31309.35,31476.55,31478.74,31481.84,7403.54
Time to First Output Token (ms),7666.85,147.00,17856.98,1472035.41,1095.30,1098.72,2010.63,2918.40,3775.11,16802.23,17780.65,17837.11,17843.34,6843.79
Time to First Token (ms),7666.85,147.00,17856.98,1472035.41,1095.30,1098.72,2010.63,2918.40,3775.11,16802.23,17780.65,17837.11,17843.34,6843.79
Time to Second Token (ms),1402.73,0.09,2769.65,269323.29,26.88,73.76,90.63,718.80,1357.76,2077.65,2766.56,2768.59,2768.77,999.13
Tokens In Flight (tokens),46883.27,0.00,57231.00,,,,,,49345.00,,55809.00,56577.00,57153.00,8250.70
Usage Completion Tokens (tokens),128.00,128.00,128.00,24576.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),512.00,512.00,512.00,98304.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Usage Total Tokens (tokens),640.00,640.00,640.00,122880.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.00

Metric,Value
Benchmark Duration (sec),47.08
Input Token Throughput (tokens/sec),2088.05
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),522.01
Request Count,192.00
Request Throughput (requests/sec),4.08
Total Input Sequence Length (tokens),98304.00
Total Output Sequence Length (tokens),24576.00
Total Output Tokens (tokens),24576.00
Total Token Throughput (tokens/sec),2610.06
Total Usage Completion Tokens (tokens),24576.00
Total Usage Prompt Tokens (tokens),98304.00
Total Usage Total Tokens (tokens),122880.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
