Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),544.49,0.00,145289.50,,,,,,655.89,,747.53,778.80,975.84,414.52
Active Decode Throughput Per User (tokens/sec/user),8.63,0.00,2270.15,,,,,,10.26,,11.70,12.21,15.49,6.42
Active Prefill Throughput (tokens/sec),8047.24,115.55,19728.67,,,,,,7077.53,,16859.39,16927.49,18058.10,5670.37
Active Prefill Throughput Per User (tokens/sec/user),186.04,115.54,883.64,,,,,,164.80,,263.66,266.45,308.26,53.80
Active Total Throughput (tokens/sec),2570.82,10.22,19728.67,,,,,,612.00,,9329.73,16140.39,16955.48,4351.15
Credit-to-Start Latency (ms),3.13,0.42,14.43,6418.97,0.55,0.67,0.75,1.15,2.63,4.50,6.26,7.57,9.33,2.25
Decode Duration (ms),13441.29,11552.90,15573.29,27527761.30,11564.66,11882.81,12058.33,12577.19,13393.12,14414.22,14810.20,14916.01,15417.52,1020.45
E2E Output Token Throughput (tokens/sec/user),8.05,7.66,8.31,16491.48,7.67,7.74,7.84,8.03,8.07,8.13,8.15,8.27,8.29,0.13
Effective Concurrency,63.97,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,0.99
Effective Decode Concurrency,54.08,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,19.64
Effective Decode Throughput (tokens/sec),510.94,0.00,145289.50,,,,,,649.55,,745.16,775.84,961.89,422.35
Effective Decode Throughput Per User (tokens/sec/user),8.09,0.00,2270.15,,,,,,10.17,,11.67,12.16,15.39,6.55
Effective Latency (CO-aware) (ms),15903.34,15398.18,16717.10,32570030.63,15437.13,15480.81,15703.31,15752.51,15857.52,15943.65,16321.45,16542.46,16698.89,269.47
Effective Prefill Concurrency,9.89,0.00,64.00,,,,,,0.00,,48.00,64.00,64.00,19.60
Effective Prefill Throughput (tokens/sec),2059.86,0.00,19728.67,,,,,,0.00,,9191.40,16140.39,16955.48,4534.69
Effective Prefill Throughput Per User (tokens/sec/user),47.62,0.00,883.64,,,,,,0.00,,191.64,261.13,267.28,85.63
Effective Total Throughput (tokens/sec),2570.80,0.00,19728.67,,,,,,612.00,,9329.73,16140.39,16955.48,4351.14
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.99,126.00,128.00,262118.00,127.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.12
