Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),171.22,1.74,362.27,,,,,,183.90,,210.25,214.58,238.65,55.97
Active Decode Throughput Per User (tokens/sec/user),21.53,1.74,45.28,,,,,,22.99,,26.28,26.82,29.83,6.62
Active Prefill Throughput (tokens/sec),5821.64,728.36,9708.77,,,,,,6660.43,,9708.77,9708.77,9708.77,2715.48
Active Prefill Throughput Per User (tokens/sec/user),921.61,728.16,3048.34,,,,,,951.49,,1213.60,1213.60,1213.60,194.37
Active Total Throughput (tokens/sec),841.57,23.54,9708.77,,,,,,182.51,,3001.10,6681.83,9708.77,2035.46
Credit-to-Start Latency (ms),1.16,1.01,1.36,9.29,1.02,1.03,1.05,1.07,1.12,1.26,1.31,1.33,1.35,0.12
Decode Duration (ms),5573.24,5395.16,5933.89,44585.92,5395.16,5395.16,5395.16,5395.17,5542.89,5690.36,5763.44,5848.67,5916.85,192.99
E2E Output Token Throughput (tokens/sec/user),20.97,20.97,20.98,167.80,20.97,20.97,20.97,20.97,20.97,20.97,20.98,20.98,20.98,0.00
Effective Concurrency,8.00,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.19
Effective Decode Concurrency,7.30,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,2.01
Effective Decode Throughput (tokens/sec),166.39,0.00,362.27,,,,,,183.24,,208.38,213.71,238.65,62.03
Effective Decode Throughput Per User (tokens/sec/user),20.92,0.00,45.28,,,,,,22.90,,26.05,26.71,29.83,7.44
Effective Latency (CO-aware) (ms),6103.73,6103.50,6103.97,48829.86,6103.51,6103.53,6103.57,6103.66,6103.72,6103.84,6103.88,6103.92,6103.96,0.14
Effective Prefill Concurrency,0.69,0.00,8.00,,,,,,0.00,,4.00,7.00,8.00,2.00
Effective Prefill Throughput (tokens/sec),674.72,0.00,9708.77,,,,,,0.00,,2912.75,6660.43,9708.77,2080.23
Effective Prefill Throughput Per User (tokens/sec/user),106.81,0.00,3048.34,,,,,,0.00,,728.19,951.49,1213.60,302.34
Effective Total Throughput (tokens/sec),841.11,0.00,9708.77,,,,,,182.51,,3001.10,6681.83,9708.77,2035.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,8.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.91,5.59,6.13,47.31,5.60,5.68,5.78,5.89,5.93,5.98,6.04,6.09,6.12,0.15
HTTP Connection Overhead (ms),5.91,5.59,6.13,47.31,5.60,5.68,5.78,5.89,5.93,5.98,6.04,6.09,6.12,0.15
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),31.24,31.20,31.29,249.93,31.20,31.20,31.20,31.21,31.25,31.26,31.28,31.29,31.29,0.03
HTTP Data Sent (KB),2.33,1.99,2.48,18.63,2.00,2.06,2.14,2.22,2.42,2.45,2.46,2.47,2.48,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6102.36,6102.01,6102.61,48818.89,6102.03,6102.12,6102.22,6102.31,6102.39,6102.42,6102.51,6102.56,6102.60,0.16
HTTP Receiving (ms),5573.26,5395.18,5933.90,44586.05,5395.18,5395.18,5395.18,5395.19,5542.91,5690.38,5763.45,5848.68,5916.86,192.99
HTTP Sending (ms),6.37,6.08,6.57,50.92,6.10,6.16,6.24,6.32,6.38,6.43,6.48,6.53,6.56,0.13
HTTP Total Time (ms),6108.27,6107.60,6108.74,48866.20,6107.64,6107.80,6108.00,6108.20,6108.32,6108.40,6108.55,6108.64,6108.72,0.30
HTTP Waiting (TTFB) (ms),522.74,162.14,700.80,4181.91,179.18,247.34,332.53,405.65,553.10,700.75,700.79,700.80,700.80,192.95
Input Sequence Length (tokens),515.00,515.00,515.00,4120.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,0.00
Inter Chunk Latency (ms),43.88,23.41,575.99,44585.92,32.21,36.03,37.69,39.82,42.63,45.15,47.22,48.68,65.34,23.56
Inter Token Latency (ms),43.88,42.48,46.72,351.07,42.48,42.48,42.48,42.48,43.64,44.81,45.38,46.05,46.59,1.52
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),22.81,21.40,23.54,182.51,21.47,21.72,22.04,22.32,22.93,23.54,23.54,23.54,23.54,0.78
Prefill Throughput Per User (tokens/sec/user),1213.60,728.02,3048.34,9708.77,728.03,728.05,728.08,728.22,988.70,1249.31,1789.05,2418.69,2922.41,734.22
Request Latency (ms),6102.57,6102.24,6102.83,48820.57,6102.26,6102.33,6102.41,6102.54,6102.60,6102.62,6102.70,6102.77,6102.82,0.16
Time to First Output Token (ms),529.33,168.94,707.40,4234.66,185.97,254.09,339.23,412.23,559.69,707.20,707.34,707.37,707.39,192.87
Time to First Token (ms),529.33,168.94,707.40,4234.66,185.97,254.09,339.23,412.23,559.69,707.20,707.34,707.37,707.39,192.87
Time to Second Token (ms),218.49,37.33,575.99,1747.88,37.62,38.77,40.21,41.45,189.17,336.64,408.49,492.24,559.24,192.49
Tokens In Flight (tokens),4580.91,0.00,5137.00,,,,,,4584.00,,5032.00,5088.00,5128.00,340.94
Usage Completion Tokens (tokens),128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),515.00,515.00,515.00,4120.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,0.00
Usage Total Tokens (tokens),643.00,643.00,643.00,5144.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,0.00

Metric,Value
Benchmark Duration (sec),6.10
Input Token Throughput (tokens/sec),674.72
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),167.70
Request Count,8.00
Request Throughput (requests/sec),1.31
Total Input Sequence Length (tokens),4120.00
Total Output Sequence Length (tokens),1024.00
Total Output Tokens (tokens),1024.00
Total Token Throughput (tokens/sec),842.42
Total Usage Completion Tokens (tokens),1024.00
Total Usage Prompt Tokens (tokens),4120.00
Total Usage Total Tokens (tokens),5144.00
