Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),276.19,1.18,776.60,,,,,,290.43,,321.04,333.28,435.69,76.55
Active Decode Throughput Per User (tokens/sec/user),17.34,1.18,48.54,,,,,,18.17,,20.06,20.83,27.23,4.57
Active Prefill Throughput (tokens/sec),7830.12,467.97,10119.67,,,,,,8257.51,,10119.67,10119.67,10119.67,1266.29
Active Prefill Throughput Per User (tokens/sec/user),514.91,467.97,705.75,,,,,,516.09,,632.48,632.48,632.48,51.77
Active Total Throughput (tokens/sec),1278.70,18.11,10119.67,,,,,,290.55,,6625.51,8257.51,10119.67,2587.17
Credit-to-Start Latency (ms),1.56,0.59,3.70,49.81,0.59,0.60,0.65,1.07,1.21,1.90,3.08,3.36,3.63,0.86
Decode Duration (ms),7003.00,6896.71,7699.45,224096.00,6896.84,6898.20,6899.97,6905.53,6997.80,7002.40,7010.84,7321.75,7699.41,186.27
E2E Output Token Throughput (tokens/sec/user),16.01,16.00,16.02,512.46,16.00,16.01,16.01,16.01,16.01,16.02,16.02,16.02,16.02,0.01
Effective Concurrency,15.99,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,0.33
Effective Decode Concurrency,14.01,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,5.14
Effective Decode Throughput (tokens/sec),254.09,0.00,776.60,,,,,,287.55,,320.23,332.17,410.86,104.92
Effective Decode Throughput Per User (tokens/sec/user),15.95,0.00,48.54,,,,,,17.97,,20.01,20.76,25.68,6.43
Effective Latency (CO-aware) (ms),7994.45,7991.13,7998.92,255822.42,7991.20,7991.38,7991.60,7991.83,7994.55,7996.40,7998.29,7998.53,7998.84,2.49
Effective Prefill Concurrency,1.98,0.00,16.00,,,,,,0.00,,14.00,16.00,16.00,5.13
Effective Prefill Throughput (tokens/sec),1024.35,0.00,10119.67,,,,,,0.00,,6592.52,8257.51,10119.67,2679.79
Effective Prefill Throughput Per User (tokens/sec/user),67.36,0.00,705.75,,,,,,0.00,,470.89,516.09,632.48,174.64
Effective Total Throughput (tokens/sec),1278.44,0.00,10119.67,,,,,,290.55,,6625.51,8257.51,10119.67,2586.98
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.70,0.00,18.89,182.48,0.00,0.00,0.00,0.00,5.42,7.54,15.22,18.74,18.87,6.00
HTTP Connection Overhead (ms),5.70,0.00,18.89,182.48,0.00,0.00,0.00,0.00,5.42,7.54,15.22,18.74,18.87,6.00
HTTP Connection Reused (ratio),0.41,0.00,1.00,13.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),32.15,32.06,32.20,1028.85,32.07,32.08,32.09,32.13,32.16,32.18,32.19,32.20,32.20,0.04
HTTP Data Sent (KB),2.35,2.12,2.58,75.10,2.14,2.21,2.24,2.28,2.34,2.41,2.45,2.49,2.55,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7992.77,7987.63,7997.55,255768.69,7987.68,7987.88,7989.59,7990.26,7993.44,7994.82,7996.79,7997.27,7997.50,2.95
HTTP Receiving (ms),7003.00,6896.70,7699.44,224096.10,6896.84,6898.22,6899.98,6905.53,6997.80,7002.40,7010.83,7321.75,7699.41,186.26
HTTP Sending (ms),5.97,0.14,19.08,191.08,0.15,0.16,0.17,0.21,5.59,7.99,15.38,18.92,19.05,6.02
HTTP Total Time (ms),7998.47,7989.58,8013.03,255951.17,7989.60,7991.44,7993.40,7994.90,7997.25,7998.61,8010.68,8012.69,8012.97,6.22
HTTP Waiting (TTFB) (ms),983.80,289.99,1085.80,31481.51,290.00,667.89,977.26,983.30,997.55,1078.47,1081.64,1085.08,1085.71,184.83
Input Sequence Length (tokens),512.00,512.00,512.00,16384.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),55.14,17.14,844.20,224096.00,31.80,47.38,49.04,51.43,54.45,57.42,60.35,63.51,84.86,19.09
Inter Token Latency (ms),55.14,54.30,60.63,1764.54,54.31,54.32,54.33,54.37,55.10,55.14,55.20,57.65,60.63,1.47
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),18.15,16.49,18.41,580.70,16.49,17.38,18.11,18.14,18.15,18.39,18.41,18.41,18.41,0.45
Prefill Throughput Per User (tokens/sec/user),574.29,467.97,1763.70,18377.18,468.07,468.84,469.64,471.80,513.12,515.51,520.55,1079.91,1763.62,307.86
Request Latency (ms),7992.89,7987.70,7997.63,255772.60,7987.76,7987.97,7989.67,7990.49,7993.59,7994.90,7996.87,7997.34,7997.58,2.92
Time to First Output Token (ms),989.89,290.30,1094.08,31676.60,290.31,671.52,983.57,993.22,997.82,1085.20,1090.19,1092.05,1093.85,186.46
Time to First Token (ms),989.89,290.30,1094.08,31676.60,290.31,671.52,983.57,993.22,997.82,1085.20,1090.19,1092.05,1093.85,186.46
Time to Second Token (ms),93.23,35.05,844.20,2983.34,35.09,35.20,35.21,35.31,47.89,48.37,49.43,407.04,844.17,193.97
Tokens In Flight (tokens),9102.77,0.00,10226.00,,,,,,9104.00,,10016.00,10128.00,10224.00,680.13
Usage Completion Tokens (tokens),128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),512.00,512.00,512.00,16384.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Usage Total Tokens (tokens),640.00,640.00,640.00,20480.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.00

Metric,Value
Benchmark Duration (sec),15.99
Input Token Throughput (tokens/sec),1024.35
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),256.09
Request Count,32.00
Request Throughput (requests/sec),2.00
Total Input Sequence Length (tokens),16384.00
Total Output Sequence Length (tokens),4096.00
Total Output Tokens (tokens),4096.00
Total Token Throughput (tokens/sec),1280.44
Total Usage Completion Tokens (tokens),4096.00
Total Usage Prompt Tokens (tokens),16384.00
Total Usage Total Tokens (tokens),20480.00
