Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),82.01,0.00,178.50,,,,,,83.67,,96.33,103.15,122.24,18.42
Active Decode Throughput Per User (tokens/sec/user),41.14,0.00,89.25,,,,,,41.83,,48.17,51.57,61.12,8.66
Active Prefill Throughput (tokens/sec),3499.59,1750.15,4834.20,,,,,,4834.20,,4834.20,4834.20,4834.20,1527.86
Active Prefill Throughput Per User (tokens/sec/user),2128.69,1750.15,3084.05,,,,,,2417.10,,2417.10,2417.10,2417.10,330.69
Active Total Throughput (tokens/sec),393.35,42.76,4834.20,,,,,,83.77,,83.77,4834.20,4834.20,1082.61
Credit-to-Start Latency (ms),1.21,1.17,1.25,2.41,1.17,1.17,1.17,1.19,1.21,1.23,1.24,1.24,1.25,0.04
Decode Duration (ms),3033.61,2969.95,3097.27,6067.22,2971.23,2976.32,2982.69,3001.78,3033.61,3065.44,3084.54,3090.91,3096.00,63.66
E2E Output Token Throughput (tokens/sec/user),39.21,39.21,39.21,78.43,39.21,39.21,39.21,39.21,39.21,39.21,39.21,39.21,39.21,0.00
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.06
Effective Decode Concurrency,1.86,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.48
Effective Decode Throughput (tokens/sec),77.74,0.00,178.50,,,,,,83.52,,95.40,102.49,117.69,25.57
Effective Decode Throughput Per User (tokens/sec/user),39.00,0.00,89.25,,,,,,41.76,,47.70,51.25,58.85,12.43
Effective Latency (CO-aware) (ms),3265.44,3265.38,3265.51,6530.89,3265.38,3265.39,3265.39,3265.41,3265.44,3265.47,3265.49,3265.50,3265.50,0.06
Effective Prefill Concurrency,0.14,0.00,2.00,,,,,,0.00,,0.00,2.00,2.00,0.47
Effective Prefill Throughput (tokens/sec),315.23,0.00,4834.20,,,,,,0.00,,0.00,4834.20,4834.20,1101.85
Effective Prefill Throughput Per User (tokens/sec/user),191.74,0.00,3084.05,,,,,,0.00,,0.00,2417.10,2417.10,617.45
Effective Total Throughput (tokens/sec),392.97,0.00,4834.20,,,,,,83.77,,83.77,4834.20,4834.20,1082.16
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),4.59,4.56,4.61,9.18,4.56,4.57,4.57,4.58,4.59,4.60,4.61,4.61,4.61,0.03
