Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),547.81,0.29,59763.62,,,,,,651.77,,740.58,837.66,1798.15,626.47
Active Decode Throughput Per User (tokens/sec/user),8.61,0.29,933.81,,,,,,10.18,,11.57,13.09,28.10,9.75
Active Prefill Throughput (tokens/sec),8439.10,128.50,18594.36,,,,,,7262.40,,17435.77,18594.36,18594.36,5782.50
Active Prefill Throughput Per User (tokens/sec/user),190.06,128.50,684.29,,,,,,172.91,,272.43,290.54,290.54,54.43
Active Total Throughput (tokens/sec),2620.52,9.93,18594.36,,,,,,622.73,,9487.06,12933.18,18594.36,4464.13
Credit-to-Start Latency (ms),5.45,0.79,19.02,697.87,0.84,1.11,1.25,3.31,4.57,6.95,10.01,13.86,16.65,3.60
Decode Duration (ms),13183.71,11596.89,15045.12,1687514.76,11620.81,11626.31,11863.49,12305.65,13212.10,14111.87,14592.57,14595.19,15040.17,1035.91
E2E Output Token Throughput (tokens/sec/user),8.21,8.19,8.22,1050.70,8.19,8.20,8.20,8.20,8.21,8.22,8.22,8.22,8.22,0.01
Effective Concurrency,63.94,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,1.45
Effective Decode Concurrency,54.06,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,19.57
Effective Decode Throughput (tokens/sec),520.78,0.00,59763.62,,,,,,643.71,,735.35,824.52,1724.13,622.23
Effective Decode Throughput Per User (tokens/sec/user),8.19,0.00,933.81,,,,,,10.06,,11.49,12.88,26.94,9.69
Effective Latency (CO-aware) (ms),15598.92,15567.43,15636.05,1996662.38,15568.74,15573.40,15574.58,15582.54,15598.65,15613.87,15619.89,15624.13,15634.83,17.93
Effective Prefill Concurrency,9.88,0.00,64.00,,,,,,0.00,,48.00,58.00,64.00,19.52
Effective Prefill Throughput (tokens/sec),2099.51,0.00,18594.36,,,,,,0.00,,9347.81,12882.51,18594.36,4650.67
Effective Prefill Throughput Per User (tokens/sec/user),47.28,0.00,684.29,,,,,,0.00,,194.75,223.91,290.54,86.53
Effective Total Throughput (tokens/sec),2620.29,0.00,18594.36,,,,,,622.73,,9487.06,12933.18,18594.36,4464.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.94,127.00,128.00,16376.00,127.00,127.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.24
HTTP Chunks Sent,1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),6.09,0.00,28.78,779.46,0.00,0.00,0.00,0.00,2.50,13.28,14.19,14.48,21.16,6.68
HTTP Connection Overhead (ms),6.09,0.00,28.78,779.46,0.00,0.00,0.00,0.00,2.50,13.28,14.19,14.48,21.16,6.68
HTTP Connection Reused (ratio),0.50,0.00,1.00,64.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
