Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),351.68,0.49,135347.27,,,,,,361.44,,397.89,418.00,549.71,621.08
Active Decode Throughput Per User (tokens/sec/user),22.00,0.49,8459.20,,,,,,22.59,,24.87,26.12,34.36,38.81
Active Prefill Throughput (tokens/sec),8853.46,458.37,18003.95,,,,,,9850.44,,15360.83,18003.95,18003.95,4139.85
Active Prefill Throughput Per User (tokens/sec/user),679.72,458.37,2070.79,,,,,,703.60,,960.05,1125.25,1125.25,176.45
Active Total Throughput (tokens/sec),700.50,23.03,18003.95,,,,,,363.00,,363.00,363.00,11007.58,1856.93
Credit-to-Start Latency (ms),5.76,0.84,17.17,184.22,0.86,1.07,1.24,1.40,3.72,7.44,14.65,16.26,16.89,5.05
Decode Duration (ms),45313.91,44415.56,46633.26,1450045.22,44415.97,44422.50,44805.92,44807.19,45377.21,45388.71,45867.40,46452.83,46589.51,561.25
E2E Output Token Throughput (tokens/sec/user),21.91,21.86,21.96,701.03,21.86,21.86,21.86,21.86,21.90,21.95,21.95,21.95,21.96,0.04
Effective Concurrency,15.99,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,0.26
Effective Decode Concurrency,15.51,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,2.53
Effective Decode Throughput (tokens/sec),350.05,0.00,135347.27,,,,,,361.33,,397.85,418.00,549.71,620.10
Effective Decode Throughput Per User (tokens/sec/user),21.90,0.00,8459.20,,,,,,22.58,,24.87,26.12,34.36,38.74
Effective Latency (CO-aware) (ms),46748.80,46646.82,46855.26,1495961.64,46647.92,46651.72,46653.95,46659.89,46752.87,46835.27,46839.92,46844.68,46852.84,89.63
Effective Prefill Concurrency,0.49,0.00,16.00,,,,,,0.00,,0.00,0.00,15.00,2.52
Effective Prefill Throughput (tokens/sec),350.39,0.00,18003.95,,,,,,0.00,,0.00,0.00,10985.55,1912.51
Effective Prefill Throughput Per User (tokens/sec/user),26.90,0.00,2070.79,,,,,,0.00,,0.00,0.00,732.37,137.09
Effective Total Throughput (tokens/sec),700.44,0.00,18003.95,,,,,,363.00,,363.00,363.00,11007.58,1856.86
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1021.19,1012.00,1024.00,32678.00,1013.55,1017.55,1018.20,1020.00,1022.00,1023.00,1023.00,1024.00,1024.00,2.39
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.11,0.00,4.76,35.37,0.00,0.00,0.00,0.00,0.51,1.83,2.79,3.58,4.67,1.31
HTTP Connection Overhead (ms),1.11,0.00,4.76,35.37,0.00,0.00,0.00,0.00,0.51,1.83,2.79,3.58,4.67,1.31
HTTP Connection Reused (ratio),0.38,0.00,1.00,12.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),251.37,250.47,252.56,8043.93,250.52,250.81,250.98,251.09,251.25,251.57,251.89,252.20,252.52,0.44
HTTP Data Sent (KB),4.49,4.15,4.87,143.79,4.21,4.35,4.37,4.41,4.46,4.55,4.71,4.78,4.85,0.14
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),46742.90,46636.71,46849.31,1495772.83,46638.39,46643.08,46645.80,46649.46,46748.13,46833.67,46835.47,46842.15,46848.27,92.59
HTTP Receiving (ms),45313.92,44415.55,46633.25,1450045.33,44415.97,44422.50,44805.91,44807.18,45377.23,45388.72,45867.40,46452.84,46589.51,561.25
HTTP Sending (ms),1.40,0.14,5.24,44.85,0.15,0.17,0.19,0.25,0.70,2.18,3.26,4.05,5.15,1.41
HTTP Total Time (ms),46744.01,46636.71,46849.69,1495808.20,46638.39,46643.08,46645.84,46651.03,46748.56,46835.98,46838.49,46843.81,46849.40,93.41
HTTP Waiting (TTFB) (ms),1427.58,198.13,2231.78,45682.65,209.18,291.29,791.51,1445.67,1455.82,1837.95,1846.65,2225.09,2231.02,530.67
Input Sequence Length (tokens),1024.00,1024.00,1024.00,32768.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),44.30,0.00,2044.33,1450045.22,0.15,21.29,37.62,41.53,43.75,45.73,48.44,53.22,135.90,28.00
