Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),159.38,2.38,59274.62,,,,,,160.19,,177.84,188.84,244.38,148.18
Active Decode Throughput Per User (tokens/sec/user),39.87,2.38,14818.65,,,,,,40.05,,44.46,47.21,61.09,37.02
Active Prefill Throughput (tokens/sec),9464.39,1628.07,20262.94,,,,,,9498.29,,20262.94,20262.94,20262.94,5554.73
Active Prefill Throughput Per User (tokens/sec/user),2681.17,1628.07,5065.73,,,,,,2374.57,,5065.73,5065.73,5065.73,1338.14
Active Total Throughput (tokens/sec),316.63,40.18,20262.94,,,,,,160.59,,160.59,160.59,4934.27,1394.78
Credit-to-Start Latency (ms),3.58,1.02,5.57,28.63,1.03,1.05,1.07,1.13,4.39,5.49,5.57,5.57,5.57,2.03
Decode Duration (ms),25489.61,25395.38,25803.61,203916.87,25395.57,25396.31,25397.25,25398.06,25458.54,25480.54,25623.25,25713.43,25785.57,127.62
E2E Output Token Throughput (tokens/sec/user),39.60,39.34,39.86,316.82,39.34,39.34,39.34,39.35,39.60,39.86,39.86,39.86,39.86,0.26
Effective Concurrency,4.00,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.07
Effective Decode Concurrency,3.94,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.45
Effective Decode Throughput (tokens/sec),158.19,0.00,59274.62,,,,,,160.02,,177.73,188.69,243.14,148.26
Effective Decode Throughput Per User (tokens/sec/user),39.57,0.00,14818.65,,,,,,40.00,,44.43,47.17,60.78,37.04
Effective Latency (CO-aware) (ms),25861.99,25693.24,26032.60,206895.89,25693.25,25693.29,25693.35,25693.40,25861.27,26029.73,26031.90,26032.25,26032.53,168.60
Effective Prefill Concurrency,0.06,0.00,4.00,,,,,,0.00,,0.00,0.00,3.00,0.44
Effective Prefill Throughput (tokens/sec),158.35,0.00,20262.94,,,,,,0.00,,0.00,0.00,4894.63,1410.60
Effective Prefill Throughput Per User (tokens/sec/user),44.86,0.00,5065.73,,,,,,0.00,,0.00,0.00,1631.54,384.99
Effective Total Throughput (tokens/sec),316.54,0.00,20262.94,,,,,,160.59,,160.59,160.59,4934.27,1394.59
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1021.00,1019.00,1022.00,8168.00,1019.00,1019.00,1019.00,1020.50,1021.50,1022.00,1022.00,1022.00,1022.00,1.22
HTTP Chunks Sent,1.00,1.00,1.00,8.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.49,0.00,1.39,3.93,0.00,0.00,0.00,0.00,0.00,1.27,1.31,1.35,1.38,0.63
HTTP Connection Overhead (ms),0.49,0.00,1.39,3.93,0.00,0.00,0.00,0.00,0.00,1.27,1.31,1.35,1.38,0.63
HTTP Connection Reused (ratio),0.62,0.00,1.00,5.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),251.28,250.39,253.03,2010.24,250.41,250.52,250.66,250.79,251.01,251.56,252.13,252.58,252.94,0.77
HTTP Data Sent (KB),4.51,4.15,4.87,36.12,4.17,4.24,4.33,4.42,4.50,4.59,4.76,4.82,4.86,0.20
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
