Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),72.14,0.00,25392.61,,,,,,72.11,,84.40,92.02,139.26,103.05
Active Decode Throughput Per User (tokens/sec/user),72.14,0.00,25392.61,,,,,,72.11,,84.40,92.02,139.26,103.05
Active Prefill Throughput (tokens/sec),5402.12,5220.90,5817.21,,,,,,5264.40,,5817.21,5817.21,5817.21,232.71
Active Prefill Throughput Per User (tokens/sec/user),5402.12,5220.90,5817.21,,,,,,5264.40,,5817.21,5817.21,5817.21,232.71
Active Total Throughput (tokens/sec),142.44,71.96,5817.21,,,,,,72.19,,72.30,72.30,5220.90,608.67
Credit-to-Start Latency (ms),2.79,2.48,3.45,11.16,2.48,2.49,2.51,2.55,2.61,2.85,3.21,3.33,3.43,0.39
Decode Duration (ms),14181.73,14149.53,14215.82,56726.91,14150.16,14152.71,14155.90,14165.46,14180.78,14197.04,14208.31,14212.07,14215.07,24.50
E2E Output Token Throughput (tokens/sec/user),71.25,71.06,71.40,285.01,71.07,71.09,71.12,71.22,71.28,71.31,71.36,71.38,71.40,0.12
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.12
Effective Decode Throughput (tokens/sec),71.15,0.00,25392.61,,,,,,71.96,,84.28,91.71,138.32,102.69
Effective Decode Throughput Per User (tokens/sec/user),71.15,0.00,25392.61,,,,,,71.96,,84.28,91.71,138.32,102.69
Effective Latency (CO-aware) (ms),14374.07,14344.52,14412.91,57496.29,14345.27,14348.25,14351.98,14363.17,14369.43,14380.33,14399.88,14406.39,14411.60,24.62
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.11
Effective Prefill Throughput (tokens/sec),71.22,0.00,5817.21,,,,,,0.00,,0.00,0.00,5220.90,616.75
Effective Prefill Throughput Per User (tokens/sec/user),71.22,0.00,5817.21,,,,,,0.00,,0.00,0.00,5220.90,616.75
Effective Total Throughput (tokens/sec),142.37,0.00,5817.21,,,,,,72.19,,72.30,72.30,5220.90,608.54
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1007.25,997.00,1018.00,4029.00,997.21,998.05,999.10,1002.25,1007.00,1012.00,1015.60,1016.80,1017.76,7.73
HTTP Chunks Sent,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),286.16,285.91,286.37,1144.62,285.91,285.92,285.93,285.97,286.18,286.36,286.36,286.36,286.37,0.21
HTTP Data Sent (KB),4.38,4.15,4.55,17.53,4.16,4.19,4.23,4.34,4.41,4.45,4.51,4.53,4.54,0.15
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),14371.21,14340.98,14410.27,57484.83,14341.75,14344.84,14348.70,14360.29,14366.79,14377.70,14397.24,14403.76,14408.97,24.89
HTTP Receiving (ms),14181.73,14149.53,14215.83,56726.92,14150.16,14152.71,14155.90,14165.47,14180.78,14197.05,14208.32,14212.07,14215.08,24.50
HTTP Sending (ms),0.15,0.12,0.17,0.59,0.12,0.12,0.13,0.14,0.15,0.16,0.17,0.17,0.17,0.02
HTTP Total Time (ms),14371.21,14340.98,14410.27,57484.83,14341.75,14344.84,14348.70,14360.29,14366.79,14377.70,14397.24,14403.76,14408.97,24.89
HTTP Waiting (TTFB) (ms),189.33,175.79,195.94,757.31,176.25,178.11,180.44,187.41,192.79,194.71,195.45,195.70,195.89,7.99
Input Sequence Length (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),13.86,0.00,158.39,56726.91,0.00,6.28,10.68,12.71,13.80,14.83,16.52,18.61,35.77,5.92
Inter Token Latency (ms),13.86,13.83,13.90,55.45,13.83,13.83,13.84,13.85,13.86,13.88,13.89,13.89,13.90,0.02
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),72.14,71.96,72.30,288.54,71.97,71.98,72.00,72.06,72.14,72.22,72.27,72.28,72.30,0.12
Prefill Throughput Per User (tokens/sec/user),5412.15,5220.90,5817.21,21648.58,5222.20,5227.42,5233.95,5253.53,5305.24,5463.85,5675.87,5746.54,5803.08,238.14
