Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),110.21,0.00,52381.07,,,,,,113.24,,135.19,146.17,221.06,274.15
Active Decode Throughput Per User (tokens/sec/user),55.15,0.00,26190.53,,,,,,56.63,,67.60,73.15,110.53,137.07
Active Prefill Throughput (tokens/sec),5954.04,2915.11,7108.60,,,,,,7084.55,,7108.60,7108.60,7108.60,1812.03
Active Prefill Throughput Per User (tokens/sec/user),3419.85,2915.11,3920.64,,,,,,3542.27,,3554.30,3554.30,3920.64,249.95
Active Total Throughput (tokens/sec),217.57,54.97,7108.60,,,,,,111.27,,111.27,111.27,7084.55,821.18
Credit-to-Start Latency (ms),2.84,1.18,4.59,11.36,1.22,1.38,1.58,2.18,2.79,3.46,4.14,4.37,4.55,1.22
Decode Duration (ms),18517.84,18342.14,18684.81,74071.35,18344.93,18356.08,18370.01,18411.83,18522.20,18628.21,18662.17,18673.49,18682.55,135.99
E2E Output Token Throughput (tokens/sec/user),54.43,54.05,54.82,217.74,54.05,54.05,54.06,54.08,54.44,54.79,54.80,54.81,54.81,0.36
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.03
Effective Decode Concurrency,1.97,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.24
Effective Decode Throughput (tokens/sec),108.72,0.00,52381.07,,,,,,113.00,,134.99,145.95,221.06,272.59
Effective Decode Throughput Per User (tokens/sec/user),54.40,0.00,26190.53,,,,,,56.51,,67.53,73.08,110.53,136.29
Effective Latency (CO-aware) (ms),18815.49,18683.73,18948.50,75261.98,18684.05,18685.36,18686.99,18691.88,18814.87,18938.49,18944.50,18946.50,18948.10,126.48
Effective Prefill Concurrency,0.03,0.00,2.00,,,,,,0.00,,0.00,0.00,2.00,0.24
Effective Prefill Throughput (tokens/sec),108.82,0.00,7108.60,,,,,,0.00,,0.00,0.00,7084.55,834.33
Effective Prefill Throughput Per User (tokens/sec/user),62.50,0.00,3920.64,,,,,,0.00,,0.00,0.00,3542.27,459.34
Effective Total Throughput (tokens/sec),217.54,0.00,7108.60,,,,,,111.27,,111.27,111.27,7084.55,821.14
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,958.75,903.00,1016.00,3835.00,903.00,903.00,903.00,903.00,958.00,1013.75,1015.10,1015.55,1015.91,55.76
HTTP Chunks Sent,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.36,0.00,1.43,1.43,0.00,0.00,0.00,0.00,0.00,0.36,1.00,1.21,1.39,0.62
HTTP Connection Overhead (ms),0.36,0.00,1.43,1.43,0.00,0.00,0.00,0.00,0.00,0.36,1.00,1.21,1.39,0.62
HTTP Connection Reused (ratio),0.75,0.00,1.00,3.00,0.03,0.15,0.30,0.75,1.00,1.00,1.00,1.00,1.00,0.43
HTTP Data Received (KB),286.42,286.14,286.72,1145.66,286.14,286.15,286.17,286.21,286.40,286.61,286.68,286.70,286.72,0.24
HTTP Data Sent (KB),4.38,4.15,4.55,17.53,4.16,4.19,4.23,4.34,4.41,4.45,4.51,4.53,4.54,0.15
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),18812.55,18680.56,18945.92,75250.19,18680.94,18682.46,18684.36,18690.05,18811.85,18934.35,18941.29,18943.61,18945.46,125.85
HTTP Receiving (ms),18517.86,18342.20,18684.82,74071.43,18344.98,18356.13,18370.06,18411.85,18522.21,18628.22,18662.18,18673.50,18682.55,135.98
HTTP Sending (ms),0.59,0.13,1.83,2.35,0.13,0.14,0.15,0.17,0.20,0.61,1.34,1.59,1.78,0.72
HTTP Total Time (ms),18812.91,18680.56,18945.92,75251.62,18680.99,18682.68,18684.79,18691.13,18812.57,18934.35,18941.29,18943.61,18945.46,125.52
HTTP Waiting (TTFB) (ms),294.10,245.29,349.19,1176.41,245.76,247.65,250.00,257.06,290.96,328.01,340.72,344.95,348.34,42.53
Input Sequence Length (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),18.10,0.00,142.74,74071.35,0.00,0.00,4.07,16.24,17.86,19.16,21.00,24.70,112.92,14.45
Inter Token Latency (ms),18.10,17.93,18.26,72.41,17.93,17.94,17.96,18.00,18.11,18.21,18.24,18.25,18.26,0.13
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),55.25,54.75,55.77,220.99,54.76,54.78,54.82,54.92,55.23,55.56,55.69,55.73,55.76,0.41
Prefill Throughput Per User (tokens/sec/user),3548.29,2915.11,4169.44,14193.15,2923.29,2956.03,2996.96,3119.74,3554.30,3982.84,4094.80,4132.12,4161.98,513.62
Request Latency (ms),18812.65,18680.65,18945.99,75250.61,18681.04,18682.57,18684.48,18690.22,18811.98,18934.41,18941.36,18943.68,18945.53,125.82
Time to First Output Token (ms),294.82,245.60,351.27,1179.26,246.06,247.93,250.27,257.29,291.20,328.73,342.25,346.76,350.37,43.12
Time to First Token (ms),294.82,245.60,351.27,1179.26,246.06,247.93,250.27,257.29,291.20,328.73,342.25,346.76,350.37,43.12
Time to Second Token (ms),52.34,14.71,103.53,209.36,14.74,14.85,14.99,15.41,45.56,82.49,95.11,99.32,102.68,38.47
Tokens In Flight (tokens),3061.98,0.00,4095.00,,,,,,3067.00,,3893.00,3995.00,4077.00,603.28
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Total Tokens (tokens),2048.00,2048.00,2048.00,8192.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00

Metric,Value
Benchmark Duration (sec),37.63
Input Token Throughput (tokens/sec),108.82
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),108.82
Request Count,4.00
Request Throughput (requests/sec),0.11
Total Input Sequence Length (tokens),4096.00
Total Output Sequence Length (tokens),4096.00
Total Output Tokens (tokens),4096.00
Total Token Throughput (tokens/sec),217.64
Total Usage Completion Tokens (tokens),4096.00
Total Usage Prompt Tokens (tokens),4096.00
Total Usage Total Tokens (tokens),8192.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
