Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),49.09,0.00,30922.91,,,,,,49.40,,55.72,58.86,77.37,86.84
Active Decode Throughput Per User (tokens/sec/user),49.09,0.00,30922.91,,,,,,49.40,,55.72,58.86,77.37,86.84
Active Prefill Throughput (tokens/sec),3938.28,3746.44,4030.07,,,,,,3983.12,,4030.07,4030.07,4030.07,115.71
Active Prefill Throughput Per User (tokens/sec/user),3938.28,3746.44,4030.07,,,,,,3983.12,,4030.07,4030.07,4030.07,115.71
Active Total Throughput (tokens/sec),97.02,49.03,4030.07,,,,,,49.11,,49.13,49.13,3746.44,429.26
Credit-to-Start Latency (ms),2.63,2.37,2.78,10.52,2.38,2.42,2.46,2.60,2.69,2.71,2.75,2.76,2.77,0.15
Decode Duration (ms),20839.74,20822.12,20863.25,83358.95,20822.37,20823.34,20824.55,20828.19,20836.79,20848.33,20857.28,20860.27,20862.65,15.55
E2E Output Token Throughput (tokens/sec/user),48.53,48.49,48.57,194.13,48.49,48.49,48.50,48.52,48.54,48.55,48.56,48.56,48.57,0.03
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.11
Effective Decode Throughput (tokens/sec),48.47,0.00,30922.91,,,,,,49.33,,55.67,58.81,77.37,86.47
Effective Decode Throughput Per User (tokens/sec/user),48.47,0.00,30922.91,,,,,,49.33,,55.67,58.81,77.37,86.47
Effective Latency (CO-aware) (ms),21102.38,21086.68,21121.49,84409.52,21087.02,21088.41,21090.14,21095.34,21100.68,21107.72,21115.98,21118.74,21120.94,12.55
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.11
Effective Prefill Throughput (tokens/sec),48.52,0.00,4030.07,,,,,,0.00,,0.00,0.00,3746.44,434.61
Effective Prefill Throughput Per User (tokens/sec/user),48.52,0.00,4030.07,,,,,,0.00,,0.00,0.00,3746.44,434.61
Effective Total Throughput (tokens/sec),96.99,0.00,4030.07,,,,,,49.11,,49.13,49.13,3746.44,429.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,999.25,933.00,1024.00,3997.00,935.55,945.75,958.50,996.75,1020.00,1022.50,1023.40,1023.70,1023.94,38.31
HTTP Chunks Sent,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),276.20,275.79,276.54,1104.82,275.80,275.83,275.88,276.00,276.24,276.45,276.50,276.52,276.53,0.29
HTTP Data Sent (KB),4.37,4.14,4.54,17.49,4.15,4.18,4.22,4.33,4.40,4.44,4.50,4.52,4.53,0.15
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),21099.68,21084.24,21118.71,84398.70,21084.57,21085.91,21087.58,21092.58,21097.88,21104.97,21113.22,21115.97,21118.16,12.45
HTTP Receiving (ms),20839.74,20822.13,20863.26,83358.97,20822.37,20823.34,20824.55,20828.20,20836.80,20848.34,20857.29,20860.27,20862.66,15.55
HTTP Sending (ms),0.15,0.13,0.18,0.61,0.13,0.13,0.13,0.13,0.15,0.17,0.18,0.18,0.18,0.02
HTTP Total Time (ms),21099.68,21084.24,21118.71,84398.70,21084.57,21085.91,21087.58,21092.58,21097.88,21104.97,21113.22,21115.97,21118.16,12.45
HTTP Waiting (TTFB) (ms),259.78,253.89,273.05,1039.12,253.93,254.10,254.31,254.95,256.09,260.92,268.20,270.63,272.57,7.74
Input Sequence Length (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),20.37,0.00,132.03,83358.95,0.00,8.94,17.18,19.24,20.29,21.25,22.54,24.03,56.32,10.40
Inter Token Latency (ms),20.37,20.35,20.39,81.48,20.35,20.36,20.36,20.36,20.37,20.38,20.39,20.39,20.39,0.02
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),49.09,49.03,49.13,196.36,49.03,49.04,49.05,49.07,49.10,49.12,49.12,49.13,49.13,0.04
Prefill Throughput Per User (tokens/sec/user),3941.68,3746.45,4030.07,15766.72,3753.55,3781.95,3817.45,3923.95,3995.10,4012.83,4023.18,4026.63,4029.38,113.93
Request Latency (ms),21099.75,21084.30,21118.80,84399.00,21084.64,21085.98,21087.65,21092.66,21097.95,21105.03,21113.29,21116.04,21118.25,12.45
Time to First Output Token (ms),260.01,254.09,273.33,1040.05,254.13,254.31,254.53,255.18,256.32,261.15,268.45,270.89,272.84,7.76
Time to First Token (ms),260.01,254.09,273.33,1040.05,254.13,254.31,254.53,255.18,256.32,261.15,268.45,270.89,272.84,7.76
Time to Second Token (ms),18.75,17.90,19.34,74.98,17.92,17.98,18.06,18.30,18.87,19.32,19.33,19.34,19.34,0.61
Tokens In Flight (tokens),1529.59,0.00,2048.00,,,,,,1530.00,,1944.00,1996.00,2037.00,299.99
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Total Tokens (tokens),2048.00,2048.00,2048.00,8192.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00

Metric,Value
Benchmark Duration (sec),84.42
Input Token Throughput (tokens/sec),48.52
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),48.52
Request Count,4.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),4096.00
Total Output Sequence Length (tokens),4096.00
Total Output Tokens (tokens),4096.00
Total Token Throughput (tokens/sec),97.04
Total Usage Completion Tokens (tokens),4096.00
Total Usage Prompt Tokens (tokens),4096.00
Total Usage Total Tokens (tokens),8192.00
