Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),217.53,0.00,88772.42,,,,,,222.47,,247.42,254.83,288.17,247.31
Active Decode Throughput Per User (tokens/sec/user),13.63,0.00,5548.28,,,,,,13.90,,15.47,15.95,18.02,15.45
Active Prefill Throughput (tokens/sec),4752.25,283.40,6601.94,,,,,,5662.18,,6601.94,6601.94,6601.94,1511.11
Active Prefill Throughput Per User (tokens/sec/user),359.99,283.36,922.07,,,,,,353.89,,412.62,412.62,922.07,75.17
Active Total Throughput (tokens/sec),429.27,14.13,6601.94,,,,,,224.80,,224.80,224.80,5693.62,998.18
Credit-to-Start Latency (ms),3.10,0.74,7.01,99.30,0.78,0.88,0.97,1.22,3.11,4.32,5.80,6.57,6.88,1.98
Decode Duration (ms),73402.99,72374.16,75692.06,2348895.80,72392.21,72432.45,72432.59,72884.28,73570.98,74223.86,74226.24,74304.96,75290.19,786.42
E2E Output Token Throughput (tokens/sec/user),13.43,13.27,13.58,429.69,13.27,13.27,13.27,13.29,13.44,13.57,13.58,13.58,13.58,0.15
Effective Concurrency,15.99,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,0.25
Effective Decode Concurrency,15.39,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,2.88
Effective Decode Throughput (tokens/sec),214.52,0.00,88772.42,,,,,,222.15,,247.13,254.73,288.17,246.90
Effective Decode Throughput Per User (tokens/sec/user),13.44,0.00,5548.28,,,,,,13.89,,15.45,15.93,18.02,15.42
Effective Latency (CO-aware) (ms),76271.74,75385.16,77186.51,2440695.73,75385.18,75385.25,75386.32,75473.20,76221.48,77065.95,77186.22,77186.39,77186.51,830.00
Effective Prefill Concurrency,0.60,0.00,16.00,,,,,,0.00,,0.00,0.00,16.00,2.87
Effective Prefill Throughput (tokens/sec),214.73,0.00,6601.94,,,,,,0.00,,0.00,0.00,5679.87,1038.04
Effective Prefill Throughput Per User (tokens/sec/user),16.27,0.00,922.07,,,,,,0.00,,0.00,0.00,378.66,76.46
Effective Total Throughput (tokens/sec),429.25,0.00,6601.94,,,,,,224.80,,224.80,224.80,5693.62,998.16
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1022.59,1019.00,1024.00,32723.00,1019.31,1020.00,1020.00,1021.00,1023.50,1024.00,1024.00,1024.00,1024.00,1.66
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.89,0.00,4.95,28.53,0.00,0.00,0.00,0.00,0.48,1.65,2.41,2.58,4.26,1.12
HTTP Connection Overhead (ms),0.89,0.00,4.95,28.53,0.00,0.00,0.00,0.00,0.48,1.65,2.41,2.58,4.26,1.12
HTTP Connection Reused (ratio),0.38,0.00,1.00,12.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),276.46,275.88,276.83,8846.70,275.97,276.15,276.18,276.34,276.51,276.57,276.72,276.77,276.82,0.21
HTTP Data Sent (KB),4.48,4.14,4.86,143.48,4.20,4.34,4.37,4.40,4.45,4.54,4.70,4.77,4.85,0.14
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),76268.51,75378.18,77184.90,2440592.35,75378.30,75378.94,75381.88,75470.04,76217.96,77063.95,77184.46,77184.86,77184.89,830.50
HTTP Receiving (ms),73403.01,72374.16,75692.06,2348896.41,72392.21,72432.45,72432.59,72884.29,73571.01,74223.92,74226.30,74304.97,75290.19,786.43
HTTP Sending (ms),1.17,0.13,5.39,37.29,0.13,0.15,0.16,0.20,0.72,2.09,2.83,3.02,4.69,1.23
HTTP Total Time (ms),76269.40,75378.18,77189.84,2440620.88,75378.30,75378.94,75381.88,75470.18,76217.96,77065.61,77186.25,77186.65,77188.91,831.27
HTTP Waiting (TTFB) (ms),2864.33,1110.35,3611.74,91658.64,1149.78,1908.32,2459.26,2466.23,2868.68,3173.97,3610.61,3611.34,3611.66,597.39
Input Sequence Length (tokens),1024.00,1024.00,1024.00,32768.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),71.75,0.00,1552.46,2348895.80,1.68,60.17,63.53,67.06,70.95,75.59,79.92,82.61,141.46,23.53
Inter Token Latency (ms),71.75,70.75,73.99,2296.09,70.76,70.80,70.80,71.25,71.92,72.56,72.56,72.63,73.60,0.77
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,32768.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,32768.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),13.94,13.52,14.13,446.03,13.59,13.77,13.78,13.78,13.90,14.04,14.12,14.12,14.13,0.15
Prefill Throughput Per User (tokens/sec/user),383.25,283.33,922.07,12264.12,283.33,283.35,283.40,324.35,357.05,415.08,416.32,601.47,892.69,135.51
Request Latency (ms),76268.64,75378.26,77185.15,2440596.43,75378.37,75379.03,75381.94,75470.12,76218.03,77064.21,77184.66,77185.08,77185.14,830.55
Time to First Output Token (ms),2865.64,1110.55,3614.13,91700.63,1149.98,1908.57,2459.63,2467.00,2869.96,3175.33,3613.25,3613.86,3614.11,598.03
Time to First Token (ms),2865.64,1110.55,3614.13,91700.63,1149.98,1908.57,2459.63,2467.00,2869.96,3175.33,3613.25,3613.86,3614.11,598.03
Time to Second Token (ms),449.43,57.94,1552.46,14381.84,58.56,59.96,60.00,60.84,365.05,819.33,820.19,1099.07,1517.56,425.42
Tokens In Flight (tokens),24481.96,0.00,32742.00,,,,,,24617.00,,31192.00,31960.00,32584.00,4933.84
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,32768.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),1024.00,1024.00,1024.00,32768.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Total Tokens (tokens),2048.00,2048.00,2048.00,65536.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00

Metric,Value
Benchmark Duration (sec),152.59
Input Token Throughput (tokens/sec),214.73
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),214.73
Request Count,32.00
Request Throughput (requests/sec),0.21
Total Input Sequence Length (tokens),32768.00
Total Output Sequence Length (tokens),32768.00
Total Output Tokens (tokens),32768.00
Total Token Throughput (tokens/sec),429.46
Total Usage Completion Tokens (tokens),32768.00
Total Usage Prompt Tokens (tokens),32768.00
Total Usage Total Tokens (tokens),65536.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
