Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),56.90,0.00,16130.67,,,,,,51.90,,81.79,85.72,94.48,35.14
Active Decode Throughput Per User (tokens/sec/user),56.90,0.00,16130.67,,,,,,51.90,,81.79,85.72,94.48,35.14
Active Prefill Throughput (tokens/sec),4459.47,4192.00,4588.60,,,,,,4500.52,,4588.60,4588.60,4588.60,164.60
Active Prefill Throughput Per User (tokens/sec/user),4459.47,4192.00,4588.60,,,,,,4500.52,,4588.60,4588.60,4588.60,164.60
Active Total Throughput (tokens/sec),112.43,48.57,4588.60,,,,,,50.32,,82.19,82.19,4192.00,491.78
Credit-to-Start Latency (ms),1.86,1.29,3.16,7.43,1.29,1.30,1.32,1.36,1.49,1.99,2.69,2.93,3.12,0.76
Decode Duration (ms),17977.93,12447.37,21061.38,71911.72,12616.14,13291.21,14135.05,16666.56,19201.48,20512.85,20841.97,20951.68,21039.44,3377.72
E2E Output Token Throughput (tokens/sec/user),58.66,48.11,80.82,234.64,48.16,48.37,48.62,49.39,52.86,62.13,73.34,77.08,80.07,13.12
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.11
Effective Decode Throughput (tokens/sec),56.17,0.00,16130.67,,,,,,51.80,,81.65,85.66,94.33,35.49
Effective Decode Throughput Per User (tokens/sec/user),56.17,0.00,16130.67,,,,,,51.80,,81.65,85.66,94.33,35.49
Effective Latency (CO-aware) (ms),18209.41,12674.07,21285.83,72837.65,12843.40,13520.75,14367.43,16907.48,19438.88,20740.81,21067.82,21176.83,21264.03,3377.78
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.11
Effective Prefill Throughput (tokens/sec),56.23,0.00,4588.60,,,,,,0.00,,0.00,0.00,4192.00,497.92
Effective Prefill Throughput Per User (tokens/sec/user),56.23,0.00,4588.60,,,,,,0.00,,0.00,0.00,4192.00,497.92
Effective Total Throughput (tokens/sec),112.40,0.00,4588.60,,,,,,50.32,,82.19,82.19,4192.00,491.72
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,595.75,403.00,700.00,2383.00,408.91,432.55,462.10,550.75,640.00,685.00,694.00,697.00,699.40,117.41
HTTP Chunks Sent,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),169.21,116.01,198.32,676.82,117.63,124.11,132.21,156.53,181.25,193.93,196.56,197.44,198.15,32.48
HTTP Data Sent (KB),4.38,4.15,4.55,17.53,4.16,4.19,4.23,4.34,4.41,4.45,4.51,4.53,4.54,0.15
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),18207.49,12670.83,21284.48,72829.96,12840.22,13517.78,14364.73,16905.58,19437.32,20739.23,21066.38,21175.43,21262.67,3378.50
HTTP Receiving (ms),17977.94,12447.38,21061.39,71911.74,12616.15,13291.22,14135.05,16666.57,19201.49,20512.86,20841.98,20951.68,21039.45,3377.72
HTTP Sending (ms),0.15,0.11,0.18,0.60,0.11,0.12,0.12,0.13,0.15,0.17,0.18,0.18,0.18,0.03
