Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),297.58,0.00,145327.86,,,,,,332.20,,381.50,402.89,527.85,475.02
Active Decode Throughput Per User (tokens/sec/user),22.09,0.00,16068.59,,,,,,21.99,,26.04,31.20,51.28,39.07
Active Prefill Throughput (tokens/sec),2269.42,128.91,3742.50,,,,,,2166.29,,2714.47,3498.09,3742.50,457.97
Active Prefill Throughput Per User (tokens/sec/user),1082.78,128.89,2884.46,,,,,,135.39,,2435.83,2714.47,2884.46,1072.01
Active Total Throughput (tokens/sec),568.59,20.61,4031.48,,,,,,345.38,,2157.20,2282.60,3223.06,728.19
Credit-to-Start Latency (ms),1.73,0.66,5.21,55.49,0.68,0.74,0.77,0.89,1.18,2.42,3.73,3.90,4.86,1.22
Decode Duration (ms),47256.65,30542.85,60294.76,1512212.66,30871.88,31910.94,32611.37,38869.11,49341.53,56249.10,58103.30,59016.96,60198.80,9623.85
E2E Output Token Throughput (tokens/sec/user),21.01,15.01,31.86,672.27,15.16,15.56,15.72,16.94,19.98,23.61,29.00,30.92,31.58,4.99
Effective Concurrency,14.25,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,3.85
Effective Decode Concurrency,13.13,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,5.12
Effective Decode Throughput (tokens/sec),284.14,0.00,145327.86,,,,,,329.04,,379.54,401.78,515.99,468.26
Effective Decode Throughput Per User (tokens/sec/user),21.09,0.00,16068.59,,,,,,21.87,,25.95,30.70,51.20,38.45
Effective Latency (CO-aware) (ms),51312.71,32146.43,68241.84,1642006.74,32432.43,33123.38,35343.79,43384.07,51251.46,60504.10,65128.27,65792.40,67568.97,11053.41
Effective Prefill Concurrency,1.13,0.00,16.00,,,,,,0.00,,1.00,15.00,16.00,3.91
Effective Prefill Throughput (tokens/sec),284.42,0.00,3742.50,,,,,,0.00,,1969.19,2166.29,2884.46,768.67
Effective Prefill Throughput Per User (tokens/sec/user),135.70,0.00,2884.46,,,,,,0.00,,135.39,1871.25,2435.83,522.06
Effective Total Throughput (tokens/sec),568.56,0.00,4031.48,,,,,,345.38,,2157.20,2282.60,3223.06,728.18
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,581.16,379.00,728.00,18597.00,380.55,386.75,393.40,474.25,617.00,687.75,699.90,705.15,722.11,117.35
