Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),723.10,0.00,11063.49,,,,,,783.83,,869.78,892.35,959.98,236.41
Active Decode Throughput Per User (tokens/sec/user),5.73,0.00,121.54,,,,,,6.16,,6.82,7.00,7.89,1.83
Active Prefill Throughput (tokens/sec),6958.62,56.12,21272.32,,,,,,7004.02,,12643.68,15510.02,21272.32,4239.31
Active Prefill Throughput Per User (tokens/sec/user),200.26,56.12,1061.59,,,,,,273.17,,308.96,394.15,619.00,129.55
Active Total Throughput (tokens/sec),1444.45,6.24,21272.32,,,,,,756.77,,1569.21,7601.82,12736.63,2428.84
Decode Duration (error-adjusted) (ms),,164051.18,,,164180.34,164939.47,167123.55,172442.85,175237.63,175389.67,176677.00,178677.41,179725.04,
Inter Token Latency (error-adjusted) (ms),,160.36,,,160.49,161.23,163.37,168.57,171.30,171.45,172.70,174.66,175.68,
Request Latency (error-adjusted) (ms),,167280.70,,,167286.70,168409.90,170604.44,175996.19,180161.12,185857.17,190576.02,192914.60,194053.48,
Time to First Token (error-adjusted) (ms),,606.27,,,1759.96,1848.53,2857.24,3443.53,3945.83,10604.05,15202.22,17552.57,18242.61,
Credit-to-Start Latency (ms),7.11,0.62,31.99,1821.06,0.66,0.80,1.15,4.38,6.23,8.84,13.18,16.31,26.34,4.92
Decode Duration (ms),173613.16,164051.18,180597.56,44271355.96,164180.31,164939.41,167116.10,171927.09,175219.75,175388.80,176672.60,178677.39,179721.39,3893.59
E2E Output Token Throughput (tokens/sec/user),5.68,5.28,6.12,1449.64,5.28,5.31,5.37,5.53,5.68,5.82,6.00,6.08,6.12,0.22
Effective Concurrency,127.30,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,4.18
Effective Decode Concurrency,122.51,0.00,128.00,,,,,,127.00,,128.00,128.00,128.00,18.43
Effective Decode Throughput (tokens/sec),721.86,0.00,11063.49,,,,,,783.78,,869.53,892.35,959.98,238.10
Effective Decode Throughput Per User (tokens/sec/user),5.72,0.00,121.54,,,,,,6.16,,6.82,7.00,7.89,1.85
