Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),71.40,0.00,19353.68,,,,,,70.67,,82.24,90.01,126.25,69.38
Active Decode Throughput Per User (tokens/sec/user),71.40,0.00,19353.68,,,,,,70.67,,82.24,90.01,126.25,69.38
Active Prefill Throughput (tokens/sec),3314.65,3314.65,3314.65,,,,,,3314.65,,3314.65,3314.65,3314.65,0.00
Active Prefill Throughput Per User (tokens/sec/user),3314.65,3314.65,3314.65,,,,,,3314.65,,3314.65,3314.65,3314.65,0.00
Active Total Throughput (tokens/sec),140.05,71.40,3314.65,,,,,,71.40,,71.40,71.40,3314.65,466.84
Credit-to-Start Latency (ms),1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,0.00
Decode Duration (ms),14327.92,14327.92,14327.92,14327.92,14327.92,14327.92,14327.92,14327.92,14327.92,14327.92,14327.92,14327.92,14327.92,0.00
E2E Output Token Throughput (tokens/sec/user),69.96,69.96,69.96,69.96,69.96,69.96,69.96,69.96,69.96,69.96,69.96,69.96,69.96,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.15
Effective Decode Throughput (tokens/sec),69.86,0.00,19353.68,,,,,,70.51,,82.23,89.99,126.25,69.41
Effective Decode Throughput Per User (tokens/sec/user),69.86,0.00,19353.68,,,,,,70.51,,82.23,89.99,126.25,69.41
Effective Latency (CO-aware) (ms),14638.85,14638.85,14638.85,14638.85,14638.85,14638.85,14638.85,14638.85,14638.85,14638.85,14638.85,14638.85,14638.85,0.00
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.14
Effective Prefill Throughput (tokens/sec),70.13,0.00,3314.65,,,,,,0.00,,0.00,0.00,3314.65,477.02
Effective Prefill Throughput Per User (tokens/sec/user),70.13,0.00,3314.65,,,,,,0.00,,0.00,0.00,3314.65,477.02
Effective Total Throughput (tokens/sec),139.99,0.00,3314.65,,,,,,71.40,,71.40,71.40,3314.65,466.75
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1016.00,1016.00,1016.00,1016.00,1016.00,1016.00,1016.00,1016.00,1016.00,1016.00,1016.00,1016.00,1016.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,0.00
HTTP Connection Overhead (ms),1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),286.79,286.79,286.79,286.79,286.79,286.79,286.79,286.79,286.79,286.79,286.79,286.79,286.79,0.00
HTTP Data Sent (KB),4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),14637.55,14637.55,14637.55,14637.55,14637.55,14637.55,14637.55,14637.55,14637.55,14637.55,14637.55,14637.55,14637.55,0.00
HTTP Receiving (ms),14327.98,14327.98,14327.98,14327.98,14327.98,14327.98,14327.98,14327.98,14327.98,14327.98,14327.98,14327.98,14327.98,0.00
HTTP Sending (ms),1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,0.00
HTTP Total Time (ms),14638.71,14638.71,14638.71,14638.71,14638.71,14638.71,14638.71,14638.71,14638.71,14638.71,14638.71,14638.71,14638.71,0.00
HTTP Waiting (TTFB) (ms),308.09,308.09,308.09,308.09,308.09,308.09,308.09,308.09,308.09,308.09,308.09,308.09,308.09,0.00
Input Sequence Length (tokens),1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,0.00
Inter Chunk Latency (ms),14.01,0.00,55.70,14327.92,0.09,9.18,11.35,12.91,14.02,14.93,16.61,18.24,25.33,3.87
Inter Token Latency (ms),14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),71.40,71.40,71.40,71.40,71.40,71.40,71.40,71.40,71.40,71.40,71.40,71.40,71.40,0.00
Prefill Throughput Per User (tokens/sec/user),3314.65,3314.65,3314.65,3314.65,3314.65,3314.65,3314.65,3314.65,3314.65,3314.65,3314.65,3314.65,3314.65,0.00
Request Latency (ms),14637.76,14637.76,14637.76,14637.76,14637.76,14637.76,14637.76,14637.76,14637.76,14637.76,14637.76,14637.76,14637.76,0.00
Time to First Output Token (ms),309.84,309.84,309.84,309.84,309.84,309.84,309.84,309.84,309.84,309.84,309.84,309.84,309.84,0.00
Time to First Token (ms),309.84,309.84,309.84,309.84,309.84,309.84,309.84,309.84,309.84,309.84,309.84,309.84,309.84,0.00
Time to Second Token (ms),10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,0.00
Tokens In Flight (tokens),1526.65,0.00,2051.00,,,,,,1527.00,,1946.00,1998.00,2040.00,303.03
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,0.00
Usage Total Tokens (tokens),2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,0.00

Metric,Value
Benchmark Duration (sec),14.64
Input Token Throughput (tokens/sec),70.13
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),69.93
Request Count,1.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),1027.00
Total Output Sequence Length (tokens),1024.00
Total Output Tokens (tokens),1024.00
Total Token Throughput (tokens/sec),140.06
Total Usage Completion Tokens (tokens),1024.00
Total Usage Prompt Tokens (tokens),1027.00
Total Usage Total Tokens (tokens),2051.00
