Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),720.70,0.00,2937.21,,,,,,785.87,,863.36,891.14,1060.92,238.01
Active Decode Throughput Per User (tokens/sec/user),5.71,0.00,49.31,,,,,,6.17,,6.77,7.00,8.76,1.83
Active Prefill Throughput (tokens/sec),6940.05,55.22,22190.07,,,,,,7125.11,,10611.46,15583.97,22190.07,4240.86
Active Prefill Throughput Per User (tokens/sec/user),201.64,55.22,1056.21,,,,,,274.02,,309.81,421.99,633.22,134.02
Active Total Throughput (tokens/sec),1439.97,6.21,22190.07,,,,,,753.98,,1611.49,7722.09,12920.12,2424.88
Decode Duration (error-adjusted) (ms),,164761.11,,,164945.02,165741.69,167882.33,172207.74,175554.60,175963.62,177310.02,179323.19,180225.91,
Inter Token Latency (error-adjusted) (ms),,161.06,,,161.24,162.02,164.11,168.34,171.61,172.01,173.32,175.29,176.17,
Request Latency (error-adjusted) (ms),,167902.80,,,168045.86,169195.77,171379.39,176676.09,180664.64,186281.27,192035.16,193225.46,194409.58,
Time to First Token (error-adjusted) (ms),,536.36,,,1526.79,1789.54,2605.68,3435.36,3686.89,10738.57,16435.99,17614.92,18400.97,
Credit-to-Start Latency (ms),7.03,0.69,32.02,1798.45,0.73,0.80,1.23,4.42,6.21,8.41,12.58,16.66,24.62,4.92
Decode Duration (ms),174133.61,164761.11,181035.64,44404069.81,164944.72,165741.39,167265.78,172206.01,175551.14,175960.89,177302.84,179322.05,180225.31,3814.88
E2E Output Token Throughput (tokens/sec/user),5.67,5.24,6.10,1445.13,5.27,5.30,5.36,5.50,5.67,5.81,5.98,6.05,6.09,0.22
Effective Concurrency,127.30,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,4.21
Effective Decode Concurrency,122.49,0.00,128.00,,,,,,127.00,,128.00,128.00,128.00,18.47
Effective Decode Throughput (tokens/sec),719.62,0.00,2937.21,,,,,,785.87,,862.93,891.14,1060.92,239.47
Effective Decode Throughput Per User (tokens/sec/user),5.70,0.00,49.31,,,,,,6.17,,6.77,7.00,8.76,1.84
Effective Latency (CO-aware) (ms),180261.32,169.44,195525.30,46146897.87,168047.51,169198.69,171380.63,175734.57,180648.73,186285.80,190920.02,193231.52,194414.56,13273.71
Effective Prefill Concurrency,4.80,0.00,128.00,,,,,,0.00,,9.00,25.00,113.00,18.15
Effective Prefill Throughput (tokens/sec),720.32,0.00,22190.07,,,,,,0.00,,965.54,7125.11,12833.41,2519.31
Effective Prefill Throughput Per User (tokens/sec/user),20.93,0.00,1056.21,,,,,,0.00,,56.80,274.02,309.81,75.14
Effective Total Throughput (tokens/sec),1439.94,0.00,22190.07,,,,,,753.98,,1611.49,7722.09,12920.12,2424.87
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1024.00,1024.00,1024.00,261120.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,255.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),2.36,0.00,12.78,600.92,0.00,0.00,0.00,0.00,0.56,4.20,6.67,8.35,11.52,3.00
HTTP Connection Overhead (ms),2.36,0.00,12.78,600.92,0.00,0.00,0.00,0.00,0.56,4.20,6.67,8.35,11.52,3.00
HTTP Connection Reused (ratio),0.48,0.00,1.00,123.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),286.53,284.51,289.09,73064.03,285.29,286.10,286.23,286.39,286.55,286.68,286.79,286.94,287.33,0.36
HTTP Data Sent (KB),4.53,4.10,4.92,1156.09,4.16,4.28,4.37,4.45,4.53,4.63,4.72,4.81,4.89,0.15
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),180960.44,167902.74,195513.97,46144912.37,168045.03,169194.77,171378.26,176208.67,180656.65,186281.05,190914.00,193223.01,194405.53,7013.72
HTTP Receiving (ms),174133.61,164761.10,181035.64,44404071.02,164944.71,165741.39,167265.78,172206.01,175551.15,175960.89,177302.89,179322.05,180225.31,3814.89
HTTP Sending (ms),2.52,0.06,13.02,643.16,0.06,0.07,0.12,0.14,0.76,4.29,6.83,8.57,11.70,3.04
HTTP Total Time (ms),180962.80,167902.74,195515.36,46145513.29,168045.03,169194.77,171378.26,176208.67,180656.65,186283.49,190922.35,193226.35,194409.06,7015.24
HTTP Waiting (TTFB) (ms),6824.31,536.03,18543.64,1740198.19,1515.43,1787.60,2599.75,3434.64,3679.19,10733.64,15276.09,17612.28,18397.27,5090.42
Input Sequence Length (tokens),1024.00,1024.00,1024.00,261120.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),170.22,20.24,1488.25,44404069.81,95.36,139.27,145.43,152.36,160.04,166.88,176.01,201.76,785.64,97.85
Inter Token Latency (ms),170.22,161.06,176.97,43405.74,161.24,162.02,163.51,168.33,171.60,172.00,173.32,175.29,176.17,3.73
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,261120.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,261120.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),5.88,5.65,6.21,1498.81,5.68,5.70,5.77,5.81,5.83,5.94,6.12,6.17,6.20,0.13
Prefill Throughput Per User (tokens/sec/user),245.19,55.22,1909.16,62524.43,55.65,58.14,67.00,95.36,277.89,298.12,393.01,572.74,671.86,182.43
Request Latency (ms),180960.51,167902.80,195514.01,46144930.77,168045.10,169194.86,171378.33,176208.73,180656.73,186281.09,190914.05,193223.05,194405.58,7013.72
Time to First Output Token (ms),6826.91,536.36,18545.17,1740860.97,1524.14,1787.89,2605.54,3434.80,3684.91,10737.87,15283.38,17614.16,18400.69,5091.71
Time to First Token (ms),6826.91,536.36,18545.17,1740860.97,1524.14,1787.89,2605.54,3434.80,3684.91,10737.87,15283.38,17614.16,18400.69,5091.71
Time to Second Token (ms),1053.92,122.16,1488.15,268748.34,141.04,203.91,792.67,1101.33,1138.09,1158.78,1173.38,1181.85,1487.17,272.51
Tokens In Flight (tokens),192938.35,0.00,260980.00,,,,,,193586.00,,246450.00,253279.71,258737.95,39139.66
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,261120.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),1024.00,1024.00,1024.00,261120.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Total Tokens (tokens),2048.00,2048.00,2048.00,522240.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00

Metric,Value
Benchmark Duration (sec),362.50
Completed Requests (Success + Error),256.00
Context Overflow Count,0.00
Error Request Count,1.00
Input Token Throughput (tokens/sec),720.32
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),720.32
Request Count,255.00
Request Error Rate (%),0.39
Request Throughput (requests/sec),0.70
Total Input Sequence Length (tokens),261120.00
Total Output Sequence Length (tokens),261120.00
Total Output Tokens (tokens),261120.00
Total Token Throughput (tokens/sec),1440.65
Total Usage Completion Tokens (tokens),261120.00
Total Usage Prompt Tokens (tokens),261120.00
Total Usage Total Tokens (tokens),522240.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
