Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),345.50,0.00,102561.39,,,,,,352.39,,402.13,419.94,510.72,371.75
Active Decode Throughput Per User (tokens/sec/user),21.65,0.00,6410.09,,,,,,22.03,,25.14,26.27,32.79,23.20
Active Prefill Throughput (tokens/sec),6546.80,370.31,11738.29,,,,,,7067.95,,8568.42,8568.42,11738.29,2128.85
Active Prefill Throughput Per User (tokens/sec/user),554.67,370.31,3169.88,,,,,,441.75,,571.23,733.64,3169.88,445.08
Active Total Throughput (tokens/sec),681.67,22.30,11738.29,,,,,,358.28,,358.28,3142.50,8589.88,1466.29
Credit-to-Start Latency (ms),3.47,0.86,10.54,110.96,0.88,0.94,1.18,1.35,2.79,4.35,7.43,8.60,10.27,2.67
Decode Duration (ms),45945.27,45369.43,47660.02,1470248.53,45369.45,45369.50,45369.72,45742.87,45882.49,46375.64,46377.10,46567.83,47393.70,490.26
E2E Output Token Throughput (tokens/sec/user),21.32,21.27,21.38,682.27,21.27,21.27,21.27,21.28,21.34,21.36,21.37,21.37,21.38,0.04
Effective Concurrency,15.99,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,0.25
Effective Decode Concurrency,15.30,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,3.09
Effective Decode Throughput (tokens/sec),340.64,0.00,102561.39,,,,,,351.84,,401.66,419.72,505.35,371.36
Effective Decode Throughput Per User (tokens/sec/user),21.34,0.00,6410.09,,,,,,21.99,,25.12,26.25,32.32,23.18
Effective Latency (CO-aware) (ms),48031.25,47912.16,48137.91,1537000.09,47912.63,47914.98,47936.22,47947.91,47981.55,48119.31,48135.88,48136.02,48137.33,90.31
Effective Prefill Concurrency,0.69,0.00,16.00,,,,,,0.00,,0.00,8.00,16.00,3.08
Effective Prefill Throughput (tokens/sec),340.98,0.00,11738.29,,,,,,0.00,,0.00,2964.60,8568.42,1533.65
Effective Prefill Throughput Per User (tokens/sec/user),28.89,0.00,3169.88,,,,,,0.00,,0.00,370.58,571.23,159.71
Effective Total Throughput (tokens/sec),681.62,0.00,11738.29,,,,,,358.28,,358.28,3142.50,8589.88,1466.25
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1023.03,1020.00,1024.00,32737.00,1020.00,1020.55,1021.10,1022.00,1023.50,1024.00,1024.00,1024.00,1024.00,1.21
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.83,0.00,2.76,26.47,0.00,0.00,0.00,0.00,0.47,1.65,2.25,2.59,2.76,0.91
HTTP Connection Overhead (ms),0.83,0.00,2.76,26.47,0.00,0.00,0.00,0.00,0.47,1.65,2.25,2.59,2.76,0.91
HTTP Connection Reused (ratio),0.38,0.00,1.00,12.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),286.50,285.51,287.93,9167.97,285.69,286.11,286.15,286.31,286.52,286.63,286.77,286.84,287.59,0.37
HTTP Data Sent (KB),4.49,4.15,4.87,143.79,4.21,4.35,4.37,4.41,4.46,4.55,4.71,4.78,4.85,0.14
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),48027.65,47906.24,48134.43,1536884.79,47906.33,47907.46,47928.06,47942.04,47978.12,48117.13,48133.24,48134.21,48134.38,91.69
HTTP Receiving (ms),45945.28,45369.52,47660.02,1470249.11,45369.52,45369.55,45369.72,45742.87,45882.50,46375.64,46377.11,46567.85,47393.70,490.25
HTTP Sending (ms),1.12,0.14,3.19,35.71,0.14,0.15,0.17,0.22,0.69,2.12,2.80,3.05,3.18,1.03
HTTP Total Time (ms),48028.48,47906.24,48136.44,1536911.26,47906.33,47907.46,47928.06,47942.04,47978.12,48119.18,48133.65,48136.08,48136.34,92.34
HTTP Waiting (TTFB) (ms),2081.25,322.83,2762.82,66599.96,586.10,1368.37,1530.77,1556.12,2103.28,2352.87,2761.55,2762.06,2762.69,552.77
Input Sequence Length (tokens),1024.00,1024.00,1024.00,32768.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),44.91,0.00,1043.32,1470248.53,1.09,35.07,38.22,41.27,44.56,47.14,49.67,54.19,119.46,18.84
Inter Token Latency (ms),44.91,44.35,46.59,1437.19,44.35,44.35,44.35,44.71,44.85,45.33,45.33,45.52,46.33,0.48
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,32768.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,32768.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
