Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),71.57,0.00,19687.25,,,,,,72.03,,82.93,92.13,127.88,99.20
Active Decode Throughput Per User (tokens/sec/user),71.57,0.00,19687.25,,,,,,72.03,,82.93,92.13,127.88,99.20
Active Prefill Throughput (tokens/sec),3784.08,3784.08,3784.08,,,,,,3784.08,,3784.08,3784.08,3784.08,0.00
Active Prefill Throughput Per User (tokens/sec/user),3784.08,3784.08,3784.08,,,,,,3784.08,,3784.08,3784.08,3784.08,0.00
Active Total Throughput (tokens/sec),140.75,71.57,3784.08,,,,,,71.57,,71.57,71.57,3784.08,502.04
Credit-to-Start Latency (ms),1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,0.00
Decode Duration (ms),14293.33,14293.33,14293.33,14293.33,14293.33,14293.33,14293.33,14293.33,14293.33,14293.33,14293.33,14293.33,14293.33,0.00
E2E Output Token Throughput (tokens/sec/user),70.31,70.31,70.31,70.31,70.31,70.31,70.31,70.31,70.31,70.31,70.31,70.31,70.31,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.14
Effective Decode Throughput (tokens/sec),70.21,0.00,19687.25,,,,,,71.90,,82.83,92.05,127.88,98.74
Effective Decode Throughput Per User (tokens/sec/user),70.21,0.00,19687.25,,,,,,71.90,,82.83,92.05,127.88,98.74
Effective Latency (CO-aware) (ms),14565.98,14565.98,14565.98,14565.98,14565.98,14565.98,14565.98,14565.98,14565.98,14565.98,14565.98,14565.98,14565.98,0.00
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.14
Effective Prefill Throughput (tokens/sec),70.49,0.00,3784.08,,,,,,0.00,,0.00,0.00,3784.08,511.63
Effective Prefill Throughput Per User (tokens/sec/user),70.49,0.00,3784.08,,,,,,0.00,,0.00,0.00,3784.08,511.63
Effective Total Throughput (tokens/sec),140.70,0.00,3784.08,,,,,,71.57,,71.57,71.57,3784.08,501.96
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1004.00,1004.00,1004.00,1004.00,1004.00,1004.00,1004.00,1004.00,1004.00,1004.00,1004.00,1004.00,1004.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,0.00
HTTP Connection Overhead (ms),1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),286.56,286.56,286.56,286.56,286.56,286.56,286.56,286.56,286.56,286.56,286.56,286.56,286.56,0.00
HTTP Data Sent (KB),4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,0.00
